Name,Movie,Line,Sentiment,Irony,Hate,Intimacy
Brock Rumlow,winter_soldier.txt,"Twenty-five, top mercs, led by this guy. Georges Batroc.",0.5,[ 1.3180324 -0.605601 ],[ 1.8462728 -1.954874 ],0.02589091658592224
Brock Rumlow,winter_soldier.txt,"Ex-DGSE, Action Division. He's at the top of Interpol's Red Notice. Before the French demobilized him, he had thirty-six kill missions. This guy's got a rep for maximum casualties.",0.15,[0.48560894 0.14754063],[ 1.7663128 -1.9457071],0.02123880386352539
Steve Rogers,winter_soldier.txt,Hostages?,0.0,[ 1.3321517  -0.73043585],[ 1.5903072 -1.5731158],0.022267967462539673
Brock Rumlow,winter_soldier.txt,"Uh...mostly techs. One officer, Jasper Sitwell.",0.0,[ 0.7641505  -0.05673711],[ 2.0170062 -1.8953166],0.022660553455352783
Brock Rumlow,winter_soldier.txt,They're in the galley.,0.0,[ 0.9249608 -0.2313155],[ 1.3095268 -1.313362 ],0.02913433313369751
Steve Rogers,winter_soldier.txt,"What's Sitwell doing on a launch ship? Alright, I'm gonna sweep the deck and find Batroc. Nat, you'll kill the engines and wait for instructions. Rumlow, you sweep aft, find the hostages, get them to the life-pods, get 'em out. Let's move.",0.0,[ 2.0032244 -1.1786932],[ 1.0662229 -1.3058461],0.03769025206565857
Brock Rumlow,winter_soldier.txt,"STRIKE, you heard the Cap. Gear up.",0.0,[ 1.4484355  -0.52157104],[ 1.2860323 -1.3764645],0.033477067947387695
Steve Rogers,winter_soldier.txt,[talking into his wrist communicator] Secure channel seven.,0.4,[ 1.2137917 -0.4199246],[ 1.8728789 -1.9014071],0.02560552954673767
Natasha Romanoff,winter_soldier.txt,Seven secure. Did you do anything fun Saturday night?,0.35,[ 1.8701826 -1.2830275],[ 1.7531563 -1.8078991],0.05374738574028015
Steve Rogers,winter_soldier.txt,"Well, all the guys from my barbershop quartet are dead, so... No, not really.",-0.15,[ 0.8906402  -0.32056305],[ 1.9390737 -1.8789557],0.06999185681343079
Natasha Romanoff,winter_soldier.txt,"You know, if you ask Kristen out, from Statistics, she'd probably say yes.",0.0,[ 1.3363979  -0.70617366],[ 1.1253083 -1.0731515],0.09073758125305176
Steve Rogers,winter_soldier.txt,That's why I don't ask.,0.0,[ 1.2973243 -0.6702098],[ 1.6949748 -1.6079438],0.08222123980522156
Natasha Romanoff,winter_soldier.txt,Too shy or too scared?,-0.5,[ 2.1417353 -1.3483554],[ 1.5762378 -1.5204573],0.06605389714241028
Steve Rogers,winter_soldier.txt,Too busy!,0.125,[0.3660047  0.26221043],[ 1.5521367 -1.4088552],0.06707710027694702
Brock Rumlow,winter_soldier.txt,"No. No, he wasn't.",0.0,[ 1.1924815  -0.61470735],[ 1.449222  -1.4041387],0.05531233549118042
Steve Rogers,winter_soldier.txt,Thanks.,0.2,[-0.370325   0.8757299],[ 1.2195907 -1.1703982],0.06473758816719055
Brock Rumlow,winter_soldier.txt,Yeah. You seemed pretty helpless without me.,0.25,[0.47820407 0.15226915],[ 1.8710603 -1.8063445],0.14366884529590607
Natasha Romanoff,winter_soldier.txt,What about the nurse that lives across the hall from you? She seems kind of nice.,0.6,[-0.13289651  0.46929997],[ 1.6434885 -1.6321238],0.1477375030517578
Steve Rogers,winter_soldier.txt,"Secure the engine room, then find me a date.",0.4,[ 1.4560045  -0.71943164],[ 1.301468  -1.3445592],0.052626222372055054
Natasha Romanoff,winter_soldier.txt,I'm multitasking.,0.0,[0.09823145 0.64915574],[ 1.7472873 -1.5163555],0.02888566255569458
Natasha Romanoff,winter_soldier.txt,"Hey, sailor.",0.0,[0.3533407 0.3293633],[ 1.3084344 -1.3916223],0.039980947971343994
Brock Rumlow,winter_soldier.txt,STRIKE in position.,0.0,[ 1.1370885  -0.42931068],[ 1.1801027 -1.1239945],0.023287594318389893
Steve Rogers,winter_soldier.txt,"Natasha, what's your status?",0.0,[ 2.176732  -1.3307703],[ 1.7246073 -1.8457069],0.12116497755050659
Steve Rogers,winter_soldier.txt,"Status, Natasha?",0.0,[ 1.9802862 -1.156543 ],[ 1.62969  -1.703259],0.02579653263092041
Natasha Romanoff,winter_soldier.txt,Hang on!,0.0,[ 1.5224267  -0.69999576],[ 1.3217617 -1.2694728],0.037398725748062134
Natasha Romanoff,winter_soldier.txt,Engine room secure.,0.4,[ 0.7678699  -0.10266822],[ 1.3707703 -1.3316652],0.02628663182258606
Steve Rogers,winter_soldier.txt,On my mark. Three. Two. One.,0.0,[ 1.3739368 -0.8713732],[ 1.8512415 -1.7437006],0.0946509838104248
Jasper Sitwell,winter_soldier.txt,"I told you, SHIELD doesn't negotiate.",0.0,[-0.06659348  0.64020187],[ 1.5711435 -1.6020669],0.038702577352523804
Brock Rumlow,winter_soldier.txt,"Hostages en route to extraction. Romanoff missed the rendezvous point, Cap. Hostiles are still in play.",0.0,[ 1.3998553  -0.87447846],[ 1.6392629 -1.805919 ],0.02397698163986206
Steve Rogers,winter_soldier.txt,"Natasha, Batroc's on the move. Circle back to Rumlow and protect the hostages.",0.0,[ 1.542743  -0.7856688],[ 1.431163  -1.5473613],0.02261805534362793
Steve Rogers,winter_soldier.txt,Natasha!,0.0,[ 0.88339716 -0.09479585],[ 1.3061318 -1.4251515],0.03071531653404236
Steve Rogers,winter_soldier.txt,On va voir. ([subtitled,0.0,[ 1.3396465 -0.8331665],[ 2.0025403 -2.12789  ],0.027504026889801025
Natasha Romanoff,winter_soldier.txt,"Well, this is awkward.",-0.6,[0.250542   0.45849806],[ 1.3293763 -1.2263983],0.07607084512710571
Steve Rogers,winter_soldier.txt,What are you doing?,0.0,[ 2.013884  -1.2099693],[ 1.7089423 -1.7421534],0.08302116394042969
Natasha Romanoff,winter_soldier.txt,Backing up the hard drive. It's a good habit to get into.,0.2041666666666666,[-1.230537   1.3288795],[ 1.5645939 -1.4875946],0.04732269048690796
Steve Rogers,winter_soldier.txt,Rumlow needed your help. What the hell are you doing here?,0.0,[ 2.1181872 -1.4812382],[ 1.9666564 -2.0929801],0.13052746653556824
Steve Rogers,winter_soldier.txt,You're saving SHIELD Intel.,0.0,[-1.4282784  1.4969398],[ 1.8123695 -1.8147177],0.02747216820716858
Natasha Romanoff,winter_soldier.txt,Whatever I can get my hands on.,0.0,[ 1.4906045  -0.67738354],[ 1.3005369 -1.1497658],0.12131693959236145
Steve Rogers,winter_soldier.txt,Our mission is to rescue hostages.,0.0,[-0.54922974  1.0505873 ],[ 2.2065547 -2.1177855],0.03178638219833374
Natasha Romanoff,winter_soldier.txt,No. That's your mission.,0.0,[ 0.54948467 -0.0847685 ],[ 1.4264706 -1.2998077],0.15967002511024475
Natasha Romanoff,winter_soldier.txt,And you've done it beautifully.,0.85,[-0.13035208  0.8934125 ],[ 1.5934476 -1.4506167],0.1771324872970581
Steve Rogers,winter_soldier.txt,You just jeopardized this whole operation.,0.2,[0.33291173 0.0882945 ],[ 1.591236  -1.5562772],0.07897281646728516
Natasha Romanoff,winter_soldier.txt,I think that's overstating things.,0.0,[ 1.6063051 -0.7638576],[ 1.4222039 -1.338899 ],0.046330034732818604
Natasha Romanoff,winter_soldier.txt,Okay. That one's on me.,0.5,[ 1.434093  -0.6164895],[ 1.2277938 -1.1494691],0.14211177825927734
Steve Rogers,winter_soldier.txt,You're damn right.,0.2857142857142857,[0.07897077 0.57354337],[ 1.1748371 -1.0615808],0.14647717773914337
Steve Rogers,winter_soldier.txt,"You just can't stop yourself from lying, can you?",0.0,[ 0.6856546  -0.08437547],[ 1.1787686  -0.90830517],0.14854462444782257
Nick Fury,winter_soldier.txt,I didn't lie. Agent Romanoff had a different mission than yours.,0.0,[ 1.0922594  -0.52849036],[ 1.9594616 -1.9151555],0.0634993314743042
Steve Rogers,winter_soldier.txt,Which you didn't feel obliged to share.,0.0,[ 1.5457973 -0.9493403],[ 1.6092404 -1.5274066],0.0818684995174408
Nick Fury,winter_soldier.txt,I'm not obliged to do anything.,0.0,[ 1.3375058 -0.6503327],[ 1.6847043 -1.5571066],0.08871063590049744
Steve Rogers,winter_soldier.txt,"Those hostages could've died, Nick.",0.0,[ 1.3026015 -0.5611398],[ 1.4003156 -1.3626925],0.02863490581512451
Nick Fury,winter_soldier.txt,I sent the greatest soldier in history to make sure that didn't happen.,0.75,[0.25881428 0.3799925 ],[ 1.4848942 -1.4775195],0.032543450593948364
Steve Rogers,winter_soldier.txt,"Soldiers trust each other, that's what makes it an army. Not a bunch of guys running around and shooting guns.",-0.125,[0.35703927 0.37389   ],[ 1.61245   -1.8081032],0.04071816802024841
Nick Fury,winter_soldier.txt,"The last time I trusted someone, I lost an eye. Look, I didn't want you doing anything you weren't comfortable with. Agent Romanoff is comfortable with everything.",0.2666666666666666,[ 1.0717133 -0.5781448],[ 1.7396425 -1.8747808],0.1759278029203415
Steve Rogers,winter_soldier.txt,I can't lead a mission when the people I'm leading have missions of their owns.,0.0,[0.4137119  0.18708825],[ 1.8262744 -1.7954434],0.03367626667022705
Nick Fury,winter_soldier.txt,It's called compartmentalization. Nobody spills the secrets because nobody knows them all.,0.0,[0.48505563 0.11576314],[ 1.5033716 -1.3649279],0.024427324533462524
Steve Rogers,winter_soldier.txt,Except you.,0.0,[0.15337545 0.4303178 ],[ 1.301009  -1.2693266],0.1251043677330017
Nick Fury,winter_soldier.txt,You're wrong about me. I do share. I'm nice like that.,0.0499999999999999,[ 1.1610122  -0.62640697],[ 1.812298 -1.830355],0.17734289169311523
Nick Fury,winter_soldier.txt,Insight bay.,0.0,[ 0.6790176  -0.01001405],[ 1.5595996 -1.4564592],0.02520763874053955
Nick Fury,winter_soldier.txt,"Director override, Fury, Nicholas J.",0.0,[ 1.9446455  -0.98979205],[ 1.6686863 -1.7900273],0.022707879543304443
Steve Rogers,winter_soldier.txt,"You know, they used to play music.",0.0,[-0.11740379  0.522532  ],[ 1.9160968 -1.7698754],0.03996622562408447
Nick Fury,winter_soldier.txt,"Yeah. My grandfather operated one of these things for forty years. My granddad worked in a nice building, he got good tips.",0.6499999999999999,[ 0.6817153  -0.29267612],[ 1.83882  -1.793826],0.1259436160326004
Nick Fury,winter_soldier.txt,"He'd walk home every night, roll of ones stuffed in his lunch bag. He'd say ""hi"", people would say hi back. Time went on, neighborhood got rougher. He'd say ""Hi"", they'd say, ""Keep on steppin'. Granddad got to grippin' that lunch bag a little tighter.",-0.09375,[ 1.6990839 -1.0368401],[ 1.8743066 -2.1054742],0.10147494077682495
Steve Rogers,winter_soldier.txt,Did he ever get mugged?,0.0,[ 2.098989  -1.3150243],[ 1.7556854 -1.7959529],0.102606862783432
Nick Fury,winter_soldier.txt,"Every week some punk would say, ""What's in the bag?""",0.0,[ 1.7250141  -0.86781335],[ 1.4037446 -1.5160114],0.05175065994262695
Steve Rogers,winter_soldier.txt,What did he do?,0.0,[ 2.0498185 -1.2582316],[ 1.8115042 -1.7396327],0.06410765647888184
Nick Fury,winter_soldier.txt,He'd show 'em. Bunch of crumpled ones and loaded .22 Magnum.,0.0,[ 1.7403699  -0.88176894],[ 1.1828201 -1.1646789],0.08091840147972107
Nick Fury,winter_soldier.txt,Granddad loved people. But he didn't trust them very much.,0.48,[ 1.3235995 -0.7451173],[ 1.8488201 -1.8844783],0.16065436601638794
Nick Fury,winter_soldier.txt,"Yeah, I know. They're a little bit bigger than a .22.",-0.09375,[ 1.2584239 -0.5600736],[ 1.3029467 -1.1981555],0.040934205055236816
Nick Fury,winter_soldier.txt,This is Project Insight. Three next generation Helicarriers synced to a network of targeting satellites.,0.0,[-0.11021946  0.44826755],[ 1.8336459 -1.7428913],0.03202277421951294
Steve Rogers,winter_soldier.txt,Launched from the Lemurian Star.,0.0,[ 0.7094266  -0.04005781],[ 1.157113  -1.2716316],0.028472870588302612
Nick Fury,winter_soldier.txt,Once we get them in the air they never need to come down. Continuous suborbital flight courtesy of our new repulsor engines.,-0.0095959595959596,[-0.23400868  0.70090663],[ 1.3939619 -1.2122287],0.02754858136177063
Steve Rogers,winter_soldier.txt,Stark?,-0.2,[ 1.803305  -1.0525616],[ 1.3300251 -1.381422 ],0.02773308753967285
Nick Fury,winter_soldier.txt,"Well, he had a few suggestions once he got an up close look at our old turbines. These new long range precision guns can eliminate a thousand hostiles a minute. The satellites can read a terrorist's DNA before he steps outside his spider hole. We gonna neutralize a lot of threats before they even happen.",-0.0027272727272727,[0.09816079 0.47732034],[ 0.4996109  -0.73912704],0.02596360445022583
Steve Rogers,winter_soldier.txt,I thought the punishment usually came after the crime.,-0.25,[0.14834103 0.3828722 ],[ 1.4648083 -1.537476 ],0.056178003549575806
Nick Fury,winter_soldier.txt,We can't afford to wait that long.,-0.05,[ 1.5794839  -0.78158534],[ 1.3331798 -1.195595 ],0.08838191628456116
Steve Rogers,winter_soldier.txt,"Who's ""we""?",0.0,[ 1.8483171 -0.9545271],[ 1.471478  -1.5064776],0.0783463716506958
Nick Fury,winter_soldier.txt,"After New York, I convinced the World Security Council we needed a quantum surge in threat analysis. For once we're way ahead of the curve.",0.1363636363636363,[-1.3479618  1.6506984],[ 1.9629115 -2.0664175],0.021606802940368652
Steve Rogers,winter_soldier.txt,By holding a gun at everyone on Earth and calling it protection.,0.0,[-0.86044043  1.222843  ],[ 1.285801 -1.427287],0.028609812259674072
Nick Fury,winter_soldier.txt,"You know, I read those SSR files. Greatest generation? You guys did some nasty stuff.",0.0,[0.5758098  0.00124151],[ 1.5531065 -1.6367968],0.038757532835006714
Steve Rogers,winter_soldier.txt,"Yeah, we compromised. Sometimes in ways that made us not sleep so well. But we did it so the people could be free. This isn't freedom, this is fear.",0.4,[0.33977988 0.06365754],[ 1.1999763 -1.4296478],0.09094864130020142
Nick Fury,winter_soldier.txt,"SHIELD takes the world as it is, not as we'd like it to be. It's getting damn near past time for you to get with that program, Cap.",-0.075,[ 1.0517879  -0.42698592],[ 1.5007867 -1.6138972],0.04227238893508911
Steve Rogers,winter_soldier.txt,Don't hold your breath.,0.0,[ 1.9100437 -1.1945041],[ 1.3725227 -1.2825238],0.1363508403301239
Steve Rogers,winter_soldier.txt,"You should be proud of yourself, Peggy.",0.8,[-0.7983514  1.2175936],[ 1.1717836 -0.9694157],0.17756877839565277
Steve Rogers,winter_soldier.txt,"For as long as I can remember I just wanted to do what was right. I guess I'm not quite sure what that is anymore. And I thought I could throw myself back in and follow orders, serve. It's just not the same.",0.1471428571428571,[ 1.6484857 -0.8768399],[ 1.9568274 -1.8389472],0.07746437191963196
Steve Rogers,winter_soldier.txt,You didn't. Knowing that you helped found SHIELD is half the reason I stay.,-0.1666666666666666,[ 0.95063066 -0.51435554],[ 2.014829  -1.9895254],0.0896250307559967
Steve Rogers,winter_soldier.txt,Peggy.,0.0,[0.6979824  0.09302775],[ 1.1812207 -1.1410847],0.03129678964614868
Steve Rogers,winter_soldier.txt,Yeah.,0.0,[-0.0112833  0.4965879],[ 0.8073447 -0.7215428],0.027981340885162354
Steve Rogers,winter_soldier.txt,"Yeah, Peggy.",0.0,[-0.36680976  0.7841357 ],[ 1.1294918 -0.9891186],0.03740566968917847
Steve Rogers,winter_soldier.txt,"Well, I couldn't leave my best girl. Not when she owes me a dance.",1.0,[ 1.4456495 -0.7303358],[ 1.0278047  -0.89609885],0.16832506656646729
Nick Fury,winter_soldier.txt,Secure office.,0.4,[-0.19079843  0.6087279 ],[ 1.0707561 -0.9385859],0.02212640643119812
Nick Fury,winter_soldier.txt,Open Lemurian Star's satellite launch file.,0.0,[0.3175457 0.0819638],[ 1.9562699 -2.0402863],0.032501041889190674
Nick Fury,winter_soldier.txt,Run decryption.,0.0,[-0.15454186  0.6524205 ],[ 1.4338957 -1.397992 ],0.027060657739639282
Nick Fury,winter_soldier.txt,"Director override, Fury, Nicholas J.",0.0,[ 1.9446455  -0.98979205],[ 1.6686863 -1.7900273],0.022707879543304443
Nick Fury,winter_soldier.txt,On whose authority?,0.0,[ 1.8056258 -0.9062985],[ 1.3273897 -1.2797418],0.03593757748603821
Nick Fury,winter_soldier.txt,World Security Council.,0.0,[-0.25889635  0.91986334],[ 1.4148312 -1.4473456],0.03322005271911621
Alexander Pierce,winter_soldier.txt,"For the record, councilman, he's Algerian. I can draw a map if it'll help.",0.0,[ 1.6994699  -0.93691695],[ 1.6740494 -1.8240696],0.03612855076789856
Alexander Pierce,winter_soldier.txt,"Really? I don't. I don't care about one boat, I care about the fleet. If this Council is going to fall a rancor every time someone pushes us on the playing field, maybe we need someone to oversee us.",0.2,[ 2.1313357 -1.3123156],[ 1.3346926 -1.4983898],0.07421204447746277
Alexander Pierce,winter_soldier.txt,Excuse me.,-0.05,[0.20808564 0.4812602 ],[ 1.3766173 -1.3445464],0.1294664442539215
Alexander Pierce,winter_soldier.txt,It depends on your definition.,0.0,[ 1.3165711 -0.5044709],[ 1.3193742 -1.2622515],0.04794493317604065
Alexander Pierce,winter_soldier.txt,I work forty floors away and it takes a hijacking for you to visit?,0.0,[ 0.70675635 -0.2135965 ],[ 1.6857969 -1.6806079],0.06377547979354858
Nick Fury,winter_soldier.txt,A nuclear war would do it too.,0.0,[-0.30039167  0.94619167],[ 0.7996474 -0.7459975],0.02354303002357483
Nick Fury,winter_soldier.txt,Busy in there?,0.1,[ 1.7434884 -1.0196518],[ 1.6923589 -1.6580949],0.027181774377822876
Alexander Pierce,winter_soldier.txt,Nothing some earmarks can't fix.,0.0,[-0.53234076  1.2166575 ],[ 1.8440675 -1.71597  ],0.020207375288009644
Nick Fury,winter_soldier.txt,"I'm, uh...here to ask a favor. I want you to call for a vote. Project insight has to be delayed.",0.0,[ 1.9972798 -1.3024278],[ 2.1068962 -2.1302264],0.04018890857696533
Alexander Pierce,winter_soldier.txt,"Nick, that's not a favor, that's a subcommittee hearing. A long one.",-0.05,[ 1.6256582 -0.8147191],[ 1.7692715 -1.7294285],0.036445438861846924
Nick Fury,winter_soldier.txt,"It could be nothing, probably is nothing. I just need time to make sure it's nothing.",0.5,[ 1.7592379  -0.79278684],[ 1.647675 -1.458845],0.059160590171813965
Alexander Pierce,winter_soldier.txt,What if it's something?,0.0,[ 2.0725462 -1.2972873],[ 1.8212811 -1.7436627],0.027112841606140137
Nick Fury,winter_soldier.txt,Then we'll both be damn glad those Helicarriers aren't in the air.,0.5,[-0.79815793  1.0917184 ],[ 1.1169808 -0.9432294],0.055636703968048096
Alexander Pierce,winter_soldier.txt,Fine. But you gotta get Iron Man to stop by my niece's birthday party.,0.4166666666666667,[ 1.4844838 -0.6569062],[ 1.2446026 -1.340749 ],0.12440235912799835
Nick Fury,winter_soldier.txt,"Thank you, sir.",0.0,[-0.19875984  0.7660406 ],[ 1.3756137 -1.3651623],0.16442185640335083
Alexander Pierce,winter_soldier.txt,"And not just a flyby, he's got to mingle.",0.0,[ 2.0704818 -1.2457442],[ 1.695122 -1.82116 ],0.11084021627902985
Sam Wilson,winter_soldier.txt,"Some stuff you leave there, other stuff you bring back. It's our job to figure out how to carry it. Is it gonna be in a big suitcase or in a little man-purse? It's up to you.",-0.078125,[ 2.3511395 -1.7844521],[ 1.8390416 -1.898845 ],0.08282727003097534
Sam Wilson,winter_soldier.txt,Yeah.,0.0,[-0.0112833  0.4965879],[ 0.8073447 -0.7215428],0.027981340885162354
Sam Wilson,winter_soldier.txt,Look who it is. The running man.,0.0,[-0.6581673  1.225061 ],[ 1.3290976 -1.4106164],0.040512263774871826
Steve Rogers,winter_soldier.txt,Caught the last few minutes. It's pretty intense.,0.0625,[ 1.3686917 -0.5062003],[ 1.6142479 -1.5136851],0.041994720697402954
Sam Wilson,winter_soldier.txt,"Yeah, brother, we all got the same problems. Guilt, regret.",0.0,[ 1.7056851 -0.8615861],[ 2.0195243 -1.9335093],0.12212523818016052
Steve Rogers,winter_soldier.txt,You lose someone?,0.0,[ 1.4670917  -0.68206775],[ 2.0642788 -1.8495156],0.09439781308174133
