Name,Spoken,Line
James Rhodes,Sam Wilson," Secretary Ross has a Congressional Medal of Honor, which is one more than you have."
Sam Wilson,James Rhodes, So let's say we agree to this thing. How long is it gonna be before they LoJack us like a bunch of common criminals?
James Rhodes,Sam Wilson,"A 117 countries want to sign this. 117, Sam, and you're just like, ""No, that's cool. We got it. """
Sam Wilson,James Rhodes, How long are you going to play both sides?
Vision,Natasha Romanoff, I have an equation.
Vision,James Rhodes, I have an equation.
Vision,Sam Wilson, I have an equation.
Vision,Steve Rogers, I have an equation.
Vision,Tony Stark, I have an equation.
Vision,Wanda Maximoff, I have an equation.
Sam Wilson,Vision," Oh, this will clear it up."
Vision,Natasha Romanoff," In the eight years since Mr. Stark announced himself as Iron Man, the number of known enhanced persons has grown exponentially. And during the same period, the number of potentially world-ending events has risen at a commensurate rate."
Vision,James Rhodes," In the eight years since Mr. Stark announced himself as Iron Man, the number of known enhanced persons has grown exponentially. And during the same period, the number of potentially world-ending events has risen at a commensurate rate."
Vision,Sam Wilson," In the eight years since Mr. Stark announced himself as Iron Man, the number of known enhanced persons has grown exponentially. And during the same period, the number of potentially world-ending events has risen at a commensurate rate."
Vision,Steve Rogers," In the eight years since Mr. Stark announced himself as Iron Man, the number of known enhanced persons has grown exponentially. And during the same period, the number of potentially world-ending events has risen at a commensurate rate."
Vision,Tony Stark," In the eight years since Mr. Stark announced himself as Iron Man, the number of known enhanced persons has grown exponentially. And during the same period, the number of potentially world-ending events has risen at a commensurate rate."
Vision,Wanda Maximoff," In the eight years since Mr. Stark announced himself as Iron Man, the number of known enhanced persons has grown exponentially. And during the same period, the number of potentially world-ending events has risen at a commensurate rate."
Steve Rogers,Vision, Are you saying it's our fault?
Vision,Natasha Romanoff, I'm saying there may be a causality. Our very strength invites challenge. Challenge incites conflict. And conflict . . . breeds catastrophe. Oversight . . . oversight is not an idea that can be dismissed out of hand.
Vision,James Rhodes, I'm saying there may be a causality. Our very strength invites challenge. Challenge incites conflict. And conflict . . . breeds catastrophe. Oversight . . . oversight is not an idea that can be dismissed out of hand.
Vision,Sam Wilson, I'm saying there may be a causality. Our very strength invites challenge. Challenge incites conflict. And conflict . . . breeds catastrophe. Oversight . . . oversight is not an idea that can be dismissed out of hand.
Vision,Steve Rogers, I'm saying there may be a causality. Our very strength invites challenge. Challenge incites conflict. And conflict . . . breeds catastrophe. Oversight . . . oversight is not an idea that can be dismissed out of hand.
Vision,Tony Stark, I'm saying there may be a causality. Our very strength invites challenge. Challenge incites conflict. And conflict . . . breeds catastrophe. Oversight . . . oversight is not an idea that can be dismissed out of hand.
Vision,Wanda Maximoff, I'm saying there may be a causality. Our very strength invites challenge. Challenge incites conflict. And conflict . . . breeds catastrophe. Oversight . . . oversight is not an idea that can be dismissed out of hand.
James Rhodes,Natasha Romanoff, Boom.
James Rhodes,Vision, Boom.
James Rhodes,Sam Wilson, Boom.
James Rhodes,Steve Rogers, Boom.
James Rhodes,Tony Stark, Boom.
James Rhodes,Wanda Maximoff, Boom.
Natasha Romanoff,Tony Stark, Tony. You are being uncharacteristically non-hyper-verbal.
Steve Rogers,Natasha Romanoff, It's because he's already made up his mind.
Steve Rogers,Vision, It's because he's already made up his mind.
Steve Rogers,Sam Wilson, It's because he's already made up his mind.
Steve Rogers,James Rhodes, It's because he's already made up his mind.
Steve Rogers,Tony Stark, It's because he's already made up his mind.
Steve Rogers,Wanda Maximoff, It's because he's already made up his mind.
Tony Stark,Steve Rogers," Boy, you know me so well."
Tony Stark,Natasha Romanoff," Boy, you know me so well."
Tony Stark,Natasha Romanoff," Actually, I'm nursing an electromagnetic headache."
Tony Stark,Vision," Actually, I'm nursing an electromagnetic headache."
Tony Stark,Sam Wilson," Actually, I'm nursing an electromagnetic headache."
Tony Stark,James Rhodes," Actually, I'm nursing an electromagnetic headache."
Tony Stark,Steve Rogers," Actually, I'm nursing an electromagnetic headache."
Tony Stark,Wanda Maximoff," Actually, I'm nursing an electromagnetic headache."
Tony Stark,Natasha Romanoff," That's what's going on, Cap. It's just pain. It's discomfort. Who's putting coffee grounds in the disposal? Am I running a bed and breakfast for a biker gang?"
Tony Stark,Vision," That's what's going on, Cap. It's just pain. It's discomfort. Who's putting coffee grounds in the disposal? Am I running a bed and breakfast for a biker gang?"
Tony Stark,Sam Wilson," That's what's going on, Cap. It's just pain. It's discomfort. Who's putting coffee grounds in the disposal? Am I running a bed and breakfast for a biker gang?"
Tony Stark,James Rhodes," That's what's going on, Cap. It's just pain. It's discomfort. Who's putting coffee grounds in the disposal? Am I running a bed and breakfast for a biker gang?"
Tony Stark,Steve Rogers," That's what's going on, Cap. It's just pain. It's discomfort. Who's putting coffee grounds in the disposal? Am I running a bed and breakfast for a biker gang?"
Tony Stark,Wanda Maximoff," That's what's going on, Cap. It's just pain. It's discomfort. Who's putting coffee grounds in the disposal? Am I running a bed and breakfast for a biker gang?"
Tony Stark,Natasha Romanoff,"Oh, that's Charles Spencer, by the way. He's a great kid. Computer engineering degree, 3.6 GPA. Had a floor level gig at Intel planned for the fall. But first, he wanted to put a few miles on his soul, before he parked it behind a desk. See the world. Maybe be of service. Charlie didn't want to go to Vegas or Fort Lauderdale, which is what I would do. He didn't go to Paris or Amsterdam, which sounds fun. He decided to spend his summer building sustainable housing for the poor. Guess where, Sokovia."
Tony Stark,Vision,"Oh, that's Charles Spencer, by the way. He's a great kid. Computer engineering degree, 3.6 GPA. Had a floor level gig at Intel planned for the fall. But first, he wanted to put a few miles on his soul, before he parked it behind a desk. See the world. Maybe be of service. Charlie didn't want to go to Vegas or Fort Lauderdale, which is what I would do. He didn't go to Paris or Amsterdam, which sounds fun. He decided to spend his summer building sustainable housing for the poor. Guess where, Sokovia."
Tony Stark,Sam Wilson,"Oh, that's Charles Spencer, by the way. He's a great kid. Computer engineering degree, 3.6 GPA. Had a floor level gig at Intel planned for the fall. But first, he wanted to put a few miles on his soul, before he parked it behind a desk. See the world. Maybe be of service. Charlie didn't want to go to Vegas or Fort Lauderdale, which is what I would do. He didn't go to Paris or Amsterdam, which sounds fun. He decided to spend his summer building sustainable housing for the poor. Guess where, Sokovia."
Tony Stark,James Rhodes,"Oh, that's Charles Spencer, by the way. He's a great kid. Computer engineering degree, 3.6 GPA. Had a floor level gig at Intel planned for the fall. But first, he wanted to put a few miles on his soul, before he parked it behind a desk. See the world. Maybe be of service. Charlie didn't want to go to Vegas or Fort Lauderdale, which is what I would do. He didn't go to Paris or Amsterdam, which sounds fun. He decided to spend his summer building sustainable housing for the poor. Guess where, Sokovia."
Tony Stark,Steve Rogers,"Oh, that's Charles Spencer, by the way. He's a great kid. Computer engineering degree, 3.6 GPA. Had a floor level gig at Intel planned for the fall. But first, he wanted to put a few miles on his soul, before he parked it behind a desk. See the world. Maybe be of service. Charlie didn't want to go to Vegas or Fort Lauderdale, which is what I would do. He didn't go to Paris or Amsterdam, which sounds fun. He decided to spend his summer building sustainable housing for the poor. Guess where, Sokovia."
Tony Stark,Wanda Maximoff,"Oh, that's Charles Spencer, by the way. He's a great kid. Computer engineering degree, 3.6 GPA. Had a floor level gig at Intel planned for the fall. But first, he wanted to put a few miles on his soul, before he parked it behind a desk. See the world. Maybe be of service. Charlie didn't want to go to Vegas or Fort Lauderdale, which is what I would do. He didn't go to Paris or Amsterdam, which sounds fun. He decided to spend his summer building sustainable housing for the poor. Guess where, Sokovia."
Tony Stark,Natasha Romanoff," He wanted to make a difference, I suppose. I mean, we won't know because we dropped a building on him while we were kicking ass. [He takes a pill with some coffee, then faces the others.]"
Tony Stark,Vision," He wanted to make a difference, I suppose. I mean, we won't know because we dropped a building on him while we were kicking ass. [He takes a pill with some coffee, then faces the others.]"
Tony Stark,Sam Wilson," He wanted to make a difference, I suppose. I mean, we won't know because we dropped a building on him while we were kicking ass. [He takes a pill with some coffee, then faces the others.]"
Tony Stark,James Rhodes," He wanted to make a difference, I suppose. I mean, we won't know because we dropped a building on him while we were kicking ass. [He takes a pill with some coffee, then faces the others.]"
Tony Stark,Steve Rogers," He wanted to make a difference, I suppose. I mean, we won't know because we dropped a building on him while we were kicking ass. [He takes a pill with some coffee, then faces the others.]"
Tony Stark,Wanda Maximoff," He wanted to make a difference, I suppose. I mean, we won't know because we dropped a building on him while we were kicking ass. [He takes a pill with some coffee, then faces the others.]"
Tony Stark,Natasha Romanoff," There's no decision-making process here. We need to be put in check! Whatever form that takes, I'm game. If we can't accept limitations, if we're boundary-less, we're no better than the bad guys."
Tony Stark,Vision," There's no decision-making process here. We need to be put in check! Whatever form that takes, I'm game. If we can't accept limitations, if we're boundary-less, we're no better than the bad guys."
Tony Stark,Sam Wilson," There's no decision-making process here. We need to be put in check! Whatever form that takes, I'm game. If we can't accept limitations, if we're boundary-less, we're no better than the bad guys."
Tony Stark,James Rhodes," There's no decision-making process here. We need to be put in check! Whatever form that takes, I'm game. If we can't accept limitations, if we're boundary-less, we're no better than the bad guys."
Tony Stark,Steve Rogers," There's no decision-making process here. We need to be put in check! Whatever form that takes, I'm game. If we can't accept limitations, if we're boundary-less, we're no better than the bad guys."
Tony Stark,Wanda Maximoff," There's no decision-making process here. We need to be put in check! Whatever form that takes, I'm game. If we can't accept limitations, if we're boundary-less, we're no better than the bad guys."
Steve Rogers,Tony Stark," Tony, someone dies on your watch, you don't give up."
Tony Stark,Steve Rogers, Who said we're giving up?
Steve Rogers,Natasha Romanoff, We are if we're not taking responsibility for our actions. This document just shifts the blames.
Steve Rogers,Vision, We are if we're not taking responsibility for our actions. This document just shifts the blames.
Steve Rogers,Sam Wilson, We are if we're not taking responsibility for our actions. This document just shifts the blames.
Steve Rogers,James Rhodes, We are if we're not taking responsibility for our actions. This document just shifts the blames.
Steve Rogers,Tony Stark, We are if we're not taking responsibility for our actions. This document just shifts the blames.
Steve Rogers,Wanda Maximoff, We are if we're not taking responsibility for our actions. This document just shifts the blames.
James Rhodes,Steve Rogers," I'm sorry. Steve. That - that is dangerously arrogant. This is the United Nations we're talking about. It's not the World Security Council, it's not SHIELD, it's not HYDRA."
Steve Rogers,James Rhodes," No, but it's run by people with agendas, and agendas change."
Steve Rogers,Tony Stark," No, but it's run by people with agendas, and agendas change."
Tony Stark,Steve Rogers," That's good. That's why I'm here. When I realized what my weapons were capable of in the wrong hands, I shut it down and stop manufacturing."
Steve Rogers,Tony Stark," Tony, you chose to do that. If we sign this, we surrender our right to choose. What if this panel sends us somewhere we don't think we should go? What if there is somewhere we need to go, and they don't let us? We may not be perfect, but the safest hands are still our own."
Tony Stark,Natasha Romanoff," If we don't do this now, it's gonna be done to us later. That's the fact. That won't be pretty."
Tony Stark,Vision," If we don't do this now, it's gonna be done to us later. That's the fact. That won't be pretty."
Tony Stark,Sam Wilson," If we don't do this now, it's gonna be done to us later. That's the fact. That won't be pretty."
Tony Stark,James Rhodes," If we don't do this now, it's gonna be done to us later. That's the fact. That won't be pretty."
Tony Stark,Steve Rogers," If we don't do this now, it's gonna be done to us later. That's the fact. That won't be pretty."
Tony Stark,Wanda Maximoff," If we don't do this now, it's gonna be done to us later. That's the fact. That won't be pretty."
Wanda Maximoff,Tony Stark, You're saying they'll come for me.
Vision,Wanda Maximoff, We would protect you.
Natasha Romanoff,Tony Stark, Maybe Tony's right.
Natasha Romanoff,Vision, Maybe Tony's right.
Natasha Romanoff,Sam Wilson, Maybe Tony's right.
Natasha Romanoff,James Rhodes, Maybe Tony's right.
Natasha Romanoff,Steve Rogers, Maybe Tony's right.
Natasha Romanoff,Wanda Maximoff, Maybe Tony's right.
Natasha Romanoff,Tony Stark," If we have one hand on the wheel, we can still steer. If we take it off -"
Natasha Romanoff,Vision," If we have one hand on the wheel, we can still steer. If we take it off -"
Natasha Romanoff,Sam Wilson," If we have one hand on the wheel, we can still steer. If we take it off -"
Natasha Romanoff,James Rhodes," If we have one hand on the wheel, we can still steer. If we take it off -"
Natasha Romanoff,Steve Rogers," If we have one hand on the wheel, we can still steer. If we take it off -"
Natasha Romanoff,Wanda Maximoff," If we have one hand on the wheel, we can still steer. If we take it off -"
Sam Wilson,Natasha Romanoff, Aren't you the same woman who told the government to kiss her ass a few years ago?
Natasha Romanoff,Tony Stark, I'm just . . . I'm reading the terrain. We have made . . . some very public mistakes. We need to win their trust back.
Natasha Romanoff,Vision, I'm just . . . I'm reading the terrain. We have made . . . some very public mistakes. We need to win their trust back.
Natasha Romanoff,Sam Wilson, I'm just . . . I'm reading the terrain. We have made . . . some very public mistakes. We need to win their trust back.
Natasha Romanoff,James Rhodes, I'm just . . . I'm reading the terrain. We have made . . . some very public mistakes. We need to win their trust back.
Natasha Romanoff,Steve Rogers, I'm just . . . I'm reading the terrain. We have made . . . some very public mistakes. We need to win their trust back.
Natasha Romanoff,Wanda Maximoff, I'm just . . . I'm reading the terrain. We have made . . . some very public mistakes. We need to win their trust back.
Tony Stark,Natasha Romanoff," Focus up. I'm sorry, did I just mishear you or did you agree with me?"
Natasha Romanoff,Tony Stark," Oh, I want to take it back now."
Tony Stark,Natasha Romanoff," No, no, no. You can't retract it. Thank you. Unprecedented. Okay, case closed--I win."
Tony Stark,Vision," No, no, no. You can't retract it. Thank you. Unprecedented. Okay, case closed--I win."
Tony Stark,Sam Wilson," No, no, no. You can't retract it. Thank you. Unprecedented. Okay, case closed--I win."
Tony Stark,James Rhodes," No, no, no. You can't retract it. Thank you. Unprecedented. Okay, case closed--I win."
Tony Stark,Steve Rogers," No, no, no. You can't retract it. Thank you. Unprecedented. Okay, case closed--I win."
Tony Stark,Wanda Maximoff," No, no, no. You can't retract it. Thank you. Unprecedented. Okay, case closed--I win."
