Name,Line,Sentiment,Irony
Stanley Shunpike,Whereabouts are you headed?,0.0,[ 2.1991966 -1.4034617]
Harry Potter,The Leaky Cauldron. That's in London.,0.0,[ 1.1497477  -0.52167755]
Stanley Shunpike,You heard that Ern? The Leaky Cauldron. That's in London.,0.0,[ 1.2211192  -0.66186696]
Shrunken head,The Leaky Cauldron. If you have pea soup... make sure you eat it before it eats you.,0.5,[ 2.0399082 -1.1691275]
Harry Potter,But the Muggles. Can't they see us?,0.0,[ 1.2600678 -0.5478249]
Stanley Shunpike,"Muggles? They don't see nothing, do they?",0.0,[ 1.2297273 -0.5510575]
Shrunken head,"No, but if you jab them with a fork, they feel. Ernie, little old lady at 12 o'clock! Ten, nine, eight... seven, six, five... four, three, three and a half... two, one and three quarters. Yes!",-0.0677083333333333,[ 1.8132311 -1.0664352]
Harry Potter,Who is that? That man.,0.0,[ 1.5412005 -0.6571204]
Stanley Shunpike,"Who is that? Who is...? That is Sirius Black, that is. Don't tell me you've never been hearing of Sirius Black. He's a murderer. Got himself locked up in Azkaban for it.",-0.1666666666666666,[ 1.6593068 -0.9557292]
Harry Potter,How did he escape?,0.0,[ 2.0167966 -1.1899897]
Stanley Shunpike,"Well, that's the question, isn't it? He's the first one that done it. He was a big supporter of... You-Know-Who. I reckon you've heard of him.",0.125,[ 1.3508292 -0.8633494]
Harry Potter,Yeah. Him I've heard of.,0.0,[ 0.74313205 -0.10078131]
Shrunken head,"Ernie, two double-deckers at 12 o'clock. They're getting closer, Ernie. Ernie, they're right on top of us! Mind your head. Hey, guys? Guys? Why the long faces? Yeah, yeah. Nearly there. Nearly there. The Leaky Cauldron. Next stop, Knockturn Alley.",0.1767857142857143,[ 1.8856798 -1.1405622]
Tom,"Ah, Mr. Potter, at last.",0.0,[-0.64619523  1.2390236 ]
Stanley Shunpike,"Take it away, Ern.",0.0,[ 1.1152753  -0.23990986]
Shrunken head,"Yeah, take it away, Ernie!",0.0,[ 0.78888524 -0.03060026]
Tom,: Room 11.,0.0,[ 1.3943664 -0.5832421]
Harry Potter,Hedwig.,0.0,[0.38151196 0.16503125]
Cornelius Fudge,": Right smart bird you got there, Mr. Potter. He arrived here just five minutes before yourself.",0.25,[ 0.78598404 -0.1339348 ]
Cornelius Fudge,"As Minister for Magic, it is my duty to inform you, Mr. Potter... that earlier this evening your uncle's sister was located... a little south of Sheffield, circling a chimney stack. The Accidental Magic Reversal Department was dispatched immediately. She has been properly punctured and her memory modified. She will have no recollection of the incident whatsoever. So that's that... and no harm done.",0.1625,[ 1.6026468 -1.133219 ]
Tom,: Pea soup?,0.0,[ 2.011949  -1.0339087]
Harry Potter,"No, thank you. Minister?",0.0,[ 1.7118307 -0.9742587]
Cornelius Fudge,Yes?,0.0,[ 1.4607873 -0.628932 ]
Harry Potter,I don't understand.,0.0,[ 1.2721599  -0.33828756]
Cornelius Fudge,Understand?,0.0,[ 1.829855  -0.9998495]
Harry Potter,I broke the law. Underage wizards can't use magic at home.,0.5,[0.2369116  0.18351549]
Cornelius Fudge,"Come now, Harry the Ministry doesn't send people to Azkaban... for blowing up their aunts. On the other hand, running away like that, given the state of things... was very, very irresponsible.",0.0675,[ 0.9008035  -0.41971296]
Harry Potter,"The state of things, sir?",0.0,[ 2.0831678 -1.1945539]
Cornelius Fudge,We have a killer on the loose.,-0.0769230769230769,[ 1.0020118  -0.21596849]
Harry Potter,"Sirius Black, you mean? But what's he got to do with me?",-0.2395833333333333,[ 1.7047592 -1.025583 ]
Cornelius Fudge,"Nothing, of course. You're safe. And that's what matters. And tomorrow you'll be on your way back to Hogwarts. These are your new schoolbooks. I took the liberty... of having them brought here. Now Tom will show you to your room.",0.2121212121212121,[ 1.4524032 -1.0096477]
Harry Potter,Hedwig.,0.0,[0.38151196 0.16503125]
Cornelius Fudge,"Oh, by the way, Harry. Whilst you're here, it would be best if you didn't... wander.",1.0,[ 1.5642952 -1.0955492]
Maid,Housekeeping. I'll come back later.,0.0,[ 1.3047434 -0.5774753]
Ron Weasley,"I'm warning you, Hermione. Keep that bloody beast of yours away from Scabbers, or I'll turn it into a tea cozy.",-0.5,[ 1.9986011 -1.2295806]
Hermione Granger,"It's a cat, Ronald. What do you expect? It's in his nature.",0.0,[ 1.5414252  -0.88520014]
Ron Weasley,A cat? Is that what they told you? Looks more like a pig with hair.,0.5,[ 1.4404138 -0.627411 ]
Hermione Granger,"That's rich... coming from the owner of that smelly old shoe brush. Crookshanks, just ignore the mean little boy.",-0.00625,[-0.23538125  0.548579  ]
Ron Weasley,Harry.,0.0,[ 1.0522904 -0.3069954]
Hermione Granger,Harry.,0.0,[ 1.0522904 -0.3069954]
Harry Potter,Egypt. What's it like?,0.0,[ 2.0546753 -1.1336669]
Ron Weasley,"Brilliant. Loads of old stuff... like mummies, tombs, even Scabbers enjoyed himself.",0.5,[ 1.1270828 -0.5588143]
Hermione Granger,You know the Egyptians used to worship cats?,0.0,[-0.45625594  0.76686615]
Ron Weasley,Along with the dung beetle.,0.0,[0.54064566 0.1418871 ]
Fred Weasley,Not flashing that clipping again are you Ron?,0.0,[ 1.2745537 -0.5541976]
George Weasley,Not flashing that clipping again are you Ron?,0.0,[ 1.2745537 -0.5541976]
Ron Weasley,I haven't shown anyone.,0.0,[ 1.2550191  -0.47206125]
Fred Weasley,"': No, not a soul. Not unless you count Tom. The day maid. The night maid. The Cook. The bloke who fixed the toilet. And that wizard from Belgium.",0.0333333333333333,[ 1.6805115  -0.96235156]
George Weasley,"': No, not a soul. Not unless you count Tom. The day maid. The night maid. The Cook. The bloke who fixed the toilet. And that wizard from Belgium.",0.0333333333333333,[ 1.6805115  -0.96235156]
Molly Weasley,Harry.,0.0,[ 1.0522904 -0.3069954]
Harry Potter,Mrs. Weasley.,0.0,[ 0.7384177  -0.11288385]
Molly Weasley,"Good to see you, dear.",0.7,[-0.62211096  1.0589811 ]
Harry Potter,Good to see you.,0.7,[-1.2578152  1.5686525]
Molly Weasley,You got everything you need?,0.0,[ 1.5753568  -0.84341747]
Harry Potter,Yes.,0.0,[0.35707045 0.19407645]
Molly Weasley,Yes? All of your books?,0.0,[ 1.578109   -0.94357497]
Harry Potter,"Yeah, it's all upstairs.",0.0,[0.01113839 0.58524984]
Molly Weasley,All of your clothes?,0.0,[ 1.8296031 -1.1100208]
Harry Potter,Everything's there.,0.0,[0.52592975 0.20378566]
Molly Weasley,Good boy.,0.7,[-0.05535769  0.61355156]
Harry Potter,Thank you.,0.0,[-0.3281238   0.90289474]
Arthur Weasley,Harry Potter.,0.0,[0.40526268 0.30491194]
Harry Potter,Mr. Weasley.,0.0,[ 0.984143   -0.31002146]
Arthur Weasley,"Harry, wonder if I might have a word?",0.0,[ 2.139955  -1.3504832]
Harry Potter,"Yeah, sure.",0.5,[-0.35265577  0.7194339 ]
Arthur Weasley,Hermione.,0.0,[0.15950479 0.41240588]
Hermione Granger,"Good morning, Mr. Weasley.",0.7,[-0.23436297  0.4295393 ]
Arthur Weasley,Looking forward to a new term?,0.1363636363636363,[ 0.8099573  -0.46398532]
Harry Potter,Yeah. It should be great.,0.8,[-1.6609005  1.7399529]
Arthur Weasley,"Harry, some within the Ministry would strongly discourage me... from divulging what I'm about to reveal to you. But I think that you need to know the facts. You are in danger. Grave danger.",0.4333333333333333,[ 2.1117914 -1.4681901]
Harry Potter,"Has this anything to do with Sirius Black, sir?",-0.1666666666666666,[ 1.8500512 -1.2150388]
Arthur Weasley,"What do you know about Sirius Black, Harry?",-0.1666666666666666,[ 2.1742058 -1.3820845]
Harry Potter,Only that he's escaped from Azkaban.,0.0,[-0.72033846  1.3209743 ]
Arthur Weasley,"Do you know why? Thirteen years ago, when you stopped...",0.0,[ 1.8213495 -1.1171315]
Harry Potter,Voldemort.,0.0,[0.02837267 0.64749765]
Arthur Weasley,Don't say his name.,0.0,[ 1.8069166 -0.8663779]
Harry Potter,Sorry.,-0.5,[0.11915877 0.49564156]
Arthur Weasley,"When you stopped You-Know-Who... Black lost everything. But to this day, he still remains a faithful servant. And in his mind... you are the only thing that stands in the way... of You-Know-Who returning to power. And that is why... he has escaped from Azkaban. To find you.",-0.0833333333333333,[ 1.1909001 -0.7560498]
Harry Potter,And kill me.,0.0,[ 1.008833 -0.126483]
Arthur Weasley,"Harry, swear to me that whatever you might hear... you won't go looking for Black.",-0.1666666666666666,[ 1.3289604 -0.805987 ]
Harry Potter,Mr. Weasley... why would I go looking for someone who wants to kill me?,0.2,[ 1.5186261 -1.07579  ]
Molly Weasley,"Quick. Quick. Ron, Ron! Oh, for goodness' sake! Don't lose him!",0.4921874999999999,[ 1.9765613 -1.1814733]
Harry Potter,I didn't mean to blow her up. I just... I lost control.,-0.3125,[ 1.5477495 -0.8472289]
Ron Weasley,Brilliant.,0.9,[-0.26382774  1.0609312 ]
Hermione Granger,"Honestly, Ron, it's not funny. Harry was lucky not to be expelled.",0.2694444444444444,[ 1.2579459  -0.58779657]
Harry Potter,I think I was lucky not to be arrested actually.,0.1666666666666666,[ 1.439434  -0.7870591]
Ron Weasley,I still think it was brilliant.,0.9,[0.32058614 0.29874748]
Hermione Granger,Come on. Everywhere else is full.,0.35,[ 1.2439814  -0.39920652]
Ron Weasley,Who do you think that is?,0.0,[ 2.3775516 -1.4144114]
Hermione Granger,Professor R.J. Lupin.,0.0,[ 0.86814046 -0.11409894]
Ron Weasley,Do you know everything? How is it she knows everything?,0.0,[ 1.9000318 -1.2300991]
Hermione Granger,"It's on his suitcase, Ronald.",0.0,[ 1.1252475  -0.51935035]
Ron Weasley,Oh.,0.0,[0.23362726 0.3343799 ]
Harry Potter,Do you think he's really asleep?,0.2,[ 2.192177  -1.4350837]
Hermione Granger,Seems to be. Why?,0.0,[ 1.8982853 -1.2306298]
Harry Potter,I gotta tell you something.,0.0,[ 1.3643677  -0.46877274]
Ron Weasley,Let me get this straight. Sirius Black has escaped from Azkaban to come after you?,0.0166666666666666,[ 0.84669095 -0.32806638]
Harry Potter,Yeah.,0.0,[-0.01128384  0.49658802]
Hermione Granger,"But they'll catch Black, won't they? I mean, everyone's looking for him.",-0.2395833333333333,[ 0.9617511  -0.27438295]
Ron Weasley,"Sure. Except no one's ever broken out of Azkaban before... and he's a murderous, raving lunatic.",0.0499999999999999,[ 0.74013567 -0.16662216]
Harry Potter,"Thanks, Ron.",0.2,[-1.4124444  1.6755273]
Hermione Granger,Why are we stopping? We can't be there yet.,0.0,[ 2.0636387 -1.2724949]
Ron Weasley,What's going on?,0.0,[ 2.0592673 -1.1191576]
Harry Potter,I don't know. Maybe we've broken down.,-0.2777777777777778,[ 1.9252098 -1.0180784]
Hermione Granger,"Ouch, Ron. That was my foot.",0.0,[ 1.3536676  -0.55690646]
Ron Weasley,There's something moving out there. I think... someone's coming aboard.,0.0,[ 1.3843665 -0.6143485]
Ron Weasley,Bloody hell! What's happening?,-1.0,[ 1.9315834 -1.0473038]
Hermione Granger,"Harry. Harry, are you all right?",0.2857142857142857,[ 2.0261977 -1.1807961]
Harry Potter,Thank you.,0.0,[-0.3281238   0.90289474]
Remus Lupin,"Here, eat this. It'll help. It's all right. It's chocolate.",0.2857142857142857,[ 0.63459986 -0.15818584]
Harry Potter,What was that thing that came?,0.0,[ 2.1782303 -1.2158031]
Remus Lupin,"It was a dementor. One of the guards of Azkaban. It's gone now. It was searching the train for Sirius Black. If you'll excuse me, I need to have a little word with the driver. Eat. You'll feel better.",0.0239583333333333,[ 1.8007269 -1.1020285]
Harry Potter,What happened to me?,0.0,[ 2.1248925 -1.1300428]
Ron Weasley,"Well, you sort of went rigid. We thought maybe you were having a fit or something.",0.4,[ 1.1299281  -0.40855274]
Harry Potter,And did either of you two... you know... pass out?,0.0,[ 1.8575399 -1.3519806]
Ron Weasley,"No. I felt weird, though. Like I'd never be cheerful again.",-0.0499999999999999,[ 1.6783628 -0.8670745]
Harry Potter,But someone was screaming. A woman.,0.0,[0.72687984 0.20395792]
Hermione Granger,"No one was screaming, Harry.",0.0,[0.44836903 0.20196486]
Albus Dumbledore,"Welcome! Welcome to another year at Hogwarts! Now, I'd like to say a few words... before we all become too befuddled by our excellent feast. First, I'm pleased to welcome Professor R.J. Lupin... who's kindly consented to fill the post... of Defense Against the Dark Arts teacher. Good luck, Professor.",0.5499999999999999,[ 1.032742  -0.5271027]
Hermione Granger,"Of course. That's why he knew to give you the chocolate, Harry.",0.0,[ 0.5424663  -0.09739305]
Draco Malfoy,"Potter. Is it true you fainted? I mean, you actually fainted?",0.0124999999999999,[ 1.8242315 -1.3492103]
Ron Weasley,"Shove off, Malfoy.",0.0,[0.24448632 0.30206695]
Harry Potter,How did he find out?,0.0,[ 2.0120616 -1.244279 ]
Hermione Granger,Just forget it.,0.0,[0.6153481  0.17964411]
Albus Dumbledore,"Our Care of Magical Creatures teacher... has decided to retire... in order to spend more time with his remaining limbs. Fortunately, I'm delighted to announce... that his place will be taken by none other... than our own Rubeus Hagrid. Finally, on a more disquieting note... at the request of the Ministry of Magic... Hogwarts will, until further notice, play host to the dementors of Azkaban... until such a time as Sirius Black is captured. The dementors will be stationed at every entrance to the grounds. Now whilst I've been assured... that their presence will not disrupt our day-to-day activities... a word of caution. Dementors are vicious creatures. They'll not distinguish... between the one they hunt and the one who gets in their way. Therefore, I must warn each and every one of you... to give them no reason to harm you. It is not in the nature of a dementor to be forgiving. But you know, happiness can be found... even in the darkest of times... if one only remembers to turn on the light.",0.2220238095238094,[ 1.6182746 -1.0979112]
Seamus Finnigan,"Fortuna Major. Here, listen. She just won't let me in. Fortuna Major.",0.0625,[ 2.011814  -1.1782595]
The Fat Lady,"No, no, no. Wait, wait. Watch this. Oh, amazing! Just with my voice.",0.7500000000000001,[ 1.6131701 -0.6555121]
Harry Potter,Fortuna Major.,0.0625,[ 0.98429275 -0.21054816]
The Fat Lady,"Yes, all right. Go in.",0.2857142857142857,[0.53347814 0.06932829]
Harry Potter,Thank you.,0.0,[-0.3281238   0.90289474]
Harry Potter,"She's still doing that after three years. She can't even sing. Exactly. Hey, man. Hey, man. Oh, God. That's awful.",-0.375,[ 1.1920983 -0.310604 ]
Seamus Finnigan,"She's still doing that after three years. She can't even sing. Exactly. Hey, man. Hey, man. Oh, God. That's awful.",-0.375,[ 1.1920983 -0.310604 ]
Ron Weasley,". Green. That's a monkey. What is that? You call that a monkey? Do not give him one again. Hey, Neville, try an elephant.",-0.0999999999999999,[ 2.0156975 -1.2977662]
Seamus Finnigan,"Ron, catch.",0.0,[5.7862741e-01 1.2397766e-05]
Ron Weasley,I will.,0.0,[0.7833544  0.00114031]
Seamus Finnigan,I think we have a winner.,0.0,[ 1.0911855 -0.25366  ]
Ron Weasley,"Oh, don't try one of them. Oh, no. Look at him. His face.",0.0,[ 1.7237238 -0.9736282]
Sybill Trelawney,"Welcome, my children. In this room, you shall explore the noble art of Divination. In this room, you shall discover if you possess the Sight. Hello. I am Professor Trelawney. Together we shall cast ourselves into the future. This term, we'll focus on Tasseomancy, the art of reading tea leaves. So please, take the cup of the person sitting opposite you. What do you see? The truth lies buried like a sentence deep within a book, waiting to be read. But first, you must broaden your minds. First, you must look beyond.",0.2714285714285714,[ 2.0251079 -1.3427796]
Hermione Granger,What a load of rubbish.,0.0,[-0.5782168  1.114656 ]
Ron Weasley,Where did you come from?,0.0,[ 2.1926575 -1.4143162]
Hermione Granger,Me? I've been here all this time.,0.0,[ 1.0082617  -0.26708058]
Sybill Trelawney,"You, boy... Is your grandmother quite well?",0.0,[ 1.8770577 -1.1812114]
Neville Longbottom,I think so.,0.0,[ 1.0121102  -0.24693295]
Sybill Trelawney,"I wouldn't be so sure of that. Give me the cup. Pity. Broaden your minds. Your aura is pulsing, dear. Are you in the beyond? I think you are.",0.2,[ 2.1312668 -1.4308946]
Ron Weasley,Sure.,0.5,[0.09134651 0.46289453]
Sybill Trelawney,Look at the cup. Tell me what you see.,0.0,[ 1.9369606 -1.0763925]
Ron Weasley,"Oh, yeah. Um... Well, Harry's got sort of a wonky cross. That's trials and suffering. And that there could be the sun and that's happiness. So... you're gonna suffer, but you're gonna be... happy about it.",0.3,[ 1.1716154  -0.64164877]
Sybill Trelawney,"Give me the cup. Oh, my dear boy. My dear... you have the Grim.",-1.0,[ 2.168438  -1.2501185]
Other,"The Grin? What's the Grin? Not the Grin, you idiot. The Grim. Taking form of a giant spectral dog. It's among the darkest omens in our world. It's an omen... of death.",-0.6,[ 1.8030735 -1.0280818]
Ron Weasley,You don't think that Grim thing's got anything to do with Sirius Black?,-0.5833333333333334,[ 1.4943951 -0.877618 ]
Hermione Granger,"Oh, honestly, Ron. If you ask me, Divination's a woolly discipline. Now, Ancient Runes, that's a fascinating subject.",0.3777777777777777,[ 0.6367702  -0.24503982]
Ron Weasley,Ancient Runes? Exactly how many classes are you taking?,0.375,[ 1.6214162 -1.0790668]
Hermione Granger,A fair few.,0.2499999999999999,[0.1879625 0.4802228]
Ron Weasley,Hang on. That's not possible. Ancient Runes is in the same time as Divination. You have to be in two classes at once.,0.0,[ 1.6117625 -1.0414934]
Hermione Granger,Don't be silly Ron. How could anyone be in two classes at once? Broaden your minds. Use your Inner Eye to see the future!.,-0.1666666666666666,[ 1.6219056 -1.1610969]
Rubeus Hagrid,"That's it. Come on, now. Come closer. Less talking, if you don't mind. I got a real treat for you today. A great lesson. So follow me. Right, you lot. Less chattering. Form a group over there. And open your books to page 49.",0.1587301587301587,[ 1.7560513 -1.2287743]
Draco Malfoy,Exactly how do we do that?,0.25,[ 1.9111726 -1.0631605]
Rubeus Hagrid,"Just stroke the spine, of course. Goodness me.",0.0,[ 1.1251116 -0.2547771]
Draco Malfoy,"Don't be such a wimp, Longbottom.",0.0,[ 0.910151   -0.32041237]
Neville Longbottom,I'm okay. Okay.,0.5,[0.4185434 0.4483888]
Hermione Granger,I think they're funny.,0.25,[-0.8963609  1.3720561]
Draco Malfoy,"Oh, yeah. Terribly funny. Really Witty. God, this place has gone to the dogs. Wait until Father hears Dumbledore's got this oaf teaching classes.",0.375,[0.5880077  0.02604455]
Harry Potter,"Shut up, Malfoy.",0.0,[-0.40823475  0.9223152 ]
Draco Malfoy,D-Dementor! Dementor!,0.0,[ 1.3748608  -0.60312635]
Hermione Granger,Just ignore him.,0.0,[0.49472088 0.16885868]
Ron Weasley,You're supposed to stroke it.,0.0,[0.4630756 0.1185076]
Neville Longbottom,Yeah.,0.0,[-0.01128384  0.49658802]
Rubeus Hagrid,Isn't he beautiful? Say hello to Buckbeak.,0.85,[ 1.4012812 -0.6642779]
Ron Weasley,"Hagrid, exactly what is that?",0.25,[ 2.1640902 -1.3139524]
Rubeus Hagrid,"That, Ron, is a hippogriff. First thing you wanna know about hippogriffs is that they're very proud creatures. Very easily offended. You do not want to insult a hippogriff. It may just be the last thing you ever do. Now, who'd like to come and say hello? Well done, Harry. Well done. Come on now. Now... you have to let him make the first move. It's only polite. So... step up. Give him a nice bow. Then you wait and see if he bows back. If he does, you can go and touch him. If not... Well, we'll get to that later. Just make your bow. Nice and low. Back off, Harry. Back off. Keep still. Keep still. Well done, Harry. Well done. Here, you big brute, you. Right. I think you can go and pat him now. Go on. Don't be shy. Nice and slow, now. Nice and slow. Slow. Not so fast, Harry. Slow down, Harry. That's it... Nice and slow. Now let him come to you. Slowly, now, slowly, slowly... That's it... Yes! Well done! Well done, Harry, well done! I think he may let you ride him now.",0.0895555201247165,[ 2.0459538 -1.4853761]
Harry Potter,What?,0.0,[ 1.4070889  -0.49027973]
Rubeus Hagrid,Come on.,0.0,[ 0.8295334  -0.10513789]
Harry Potter,"Hey, hey, hey!",0.0,[0.28539836 0.29804632]
Rubeus Hagrid,"Put you over here, just behind the wing joint. Don't pull out any of his feathers, because he won't thank you for that. Well done, Harry, and well done, Buckbeak.",-0.4,[ 1.8204058  -0.98571044]
Ron Weasley,"That was wicked, Harry!",0.0,[ 1.1207043 -0.1716555]
Draco Malfoy,"Oh, please.",0.0,[ 0.94870436 -0.02736135]
Rubeus Hagrid,"Well done, well done. How am I doing me first day?",0.25,[ 1.4701623  -0.79213786]
Harry Potter,"Brilliant, professor.",0.9,[-1.0719169  1.5808953]
Draco Malfoy,"Yes you're not dangerous at all, are you, you great ugly brute!",0.075,[ 0.8621519 -0.3498968]
Rubeus Hagrid,"Malfoy, no... No! Buckbeak! Whoa, whoa, whoa... Whoa! Buckbeak! Away, you silly creature!",-0.625,[ 1.5958221 -0.8335382]
Draco Malfoy,It's killed me! It's killed me!,-0.25,[ 1.5932543  -0.72612566]
Rubeus Hagrid,Calm down! It's just a scratch!,0.0284722222222222,[ 1.5899857 -0.7540157]
Hermione Granger,Hagrid! He has to be taken to the hospital.,0.0,[ 1.7141955 -0.8308239]
Rubeus Hagrid,I'm the teacher. I'll do it.,0.0,[ 0.99149275 -0.1235837 ]
Draco Malfoy,Oh You're gonna regret this.,0.0,[0.30675644 0.38090384]
Rubeus Hagrid,Class dismissed!,0.0,[0.5276934  0.15033594]
Draco Malfoy,You and your bloody chicken!,-0.775,[0.39383867 0.31295055]
Pansy Parkinson,"Does it hurt terribly, Draco?",-1.0,[ 1.9974905 -1.2613366]
Draco Malfoy,"It comes and it goes. Still, I consider myself lucky. Madam Pomfrey said another minute and I could've lost my arm. I couldn't do homework for weeks.",0.3333333333333333,[ 1.8808738 -1.1319814]
Ron Weasley,"Listen to the idiot. He's really laying it on thick, isn't he?",-0.3,[-0.02986519  0.52873707]
Harry Potter,At least Hagrid didn't get fired.,-0.3,[-0.2918721   0.74591166]
Hermione Granger,Yeah but I heard Draco's father's furious. We haven't heard the end of this.,0.0,[ 1.3115151  -0.54033506]
Seamus Finnigan,He's been sighted! He's been sighted!,0.0,[ 1.2319402 -0.4894684]
Ron Weasley,Who?,0.0,[ 1.9149289 -0.9018236]
Seamus Finnigan,Sirius Black!,-0.2083333333333333,[0.91544694 0.0467473 ]
Hermione Granger,Dufftown? That's not far from here.,-0.05,[ 1.0505775  -0.39036977]
Other,"You don't think he'd come to Hogwarts, do you? With dementors at every entrance?",0.0,[ 1.3210286  -0.75149226]
Seamus Finnigan,Dementors? He's already slipped past them once. Who's to say he won't do it again?,-0.25,[ 1.7640166 -1.1660004]
Other,That's right. Black could be anywhere. It's like trying to catch smoke. Like trying to catch smoke with your bare hands.,0.0563492063492063,[ 1.4547431  -0.80291027]
