Name,Line,Sentiment,Irony,Hate
RUSTY,"Good evening, guys. Let's play
                   some cards...

      A glance at the table reveals: the three waiting players
      are all young TV stars (Josh Jackson, Seth Green, Barry
      Watson) here for a group poker lesson with Rusty. (One
      star, indeed, has brought his girlfriend, Katie, also
      a known actress, to observe.)

      A glance back at Rusty reveals:     he's in for a long
      night.",0.1099999999999999,[ 1.0344046 -0.6737456],[ 1.9386222 -2.0345805]
RUSTY,... and let's play some cards.,0.0,[ 1.4944044 -0.5940267],[ 1.2291144 -1.3059016]
TOPHER,"A hundred bucks to me...
                          (mulling it
                           over)
                   Ah, what the hell. Pocket
                   change. Call.

      Rusty leans into Topher's ear, whispering:",0.0,[ 1.0025431 -0.7089915],[ 1.5429438 -1.7391762]
RUSTY,"Why you bet a certain way is your
                   business. But you have to make
                   them think you're betting for a
                   reason. Understand?",0.2142857142857142,[ 0.16802771 -0.0571054 ],[ 1.823053  -1.7777132]
RUSTY,"Seth. You know what you have.
                   Looking at them doesn't change
                   them. Leave 'em where they are
                   and make your bet.",0.0,[ 0.7828714 -0.5917326],[ 1.2167925 -1.4254973]
RUSTY,"You're showing. Yeah, I know she's
                   your girlfriend, Barry, but you
                   can't... Thank you.",0.0,[-0.1496874   0.29201356],[ 1.267931  -1.1444645]
RUSTY,Josh.   Deal to your left.,0.0,[-0.5818429  0.875736 ],[ 1.3274704 -1.3193258]
RUSTY,"(folding)
                   You got me.
                          (as Seth rakes in
                           his winnings)
                   Let's take a little break.",-0.1875,[ 0.41238284 -0.02123793],[ 1.8403699 -2.0523996]
RUSTY,"It's been the longest hour of
                   my life.",0.0,[-0.00841169  0.4278469 ],[ 1.6850405 -1.5664226]
RUSTY,"(at the same volume)
                   I'm running away with your wife.

      The Bartender, not able to hear him, smiles and flashes
      a thumbs-up before moving away.",-0.125,[-0.01058558  0.27785745],[ 1.2505323 -1.251954 ]
TOPHER,"Hey, Rusty, we got another player,
                   if that's alright.",0.0,[-0.33242524  0.43926397],[ 1.8446561 -1.9251497]
RUSTY,What's this?,0.0,[ 1.9054703 -1.0195409],[ 1.3470072 -1.330578 ]
DANNY,"The bouncer mentioned there was
                   a game in progress. I hope I'm
                   not intruding.",-0.4,[-0.37117764  0.48191056],[ 1.788355 -1.871061]
TOPHER,No intrusion at all --,0.0,[ 1.2772758 -0.8066666],[ 1.6639532 -1.7095007]
RUSTY,"What was his name, the bouncer's?",0.0,[ 2.24612   -1.2459303],[ 1.6776986 -1.7632242]
DANNY,I don't remember.,0.0,[ 1.1623167 -0.3833208],[ 1.3469965 -1.1755579]
RUSTY,"A card player with amnesia.    This
                   should be fun.",0.3,[-2.0784452  2.0246468],[ 1.554296  -1.5836738]
TOPHER,"What do you do for a living,
                   Mr. Ocean? If you don't mind
                   my asking.",0.0,[ 0.8066588  -0.45259938],[ 1.9279491 -2.079409 ]
DANNY,"Why should I mind? Two cards,
                   please...
                          (long beat)
                   I just got out of prison.",-0.05,[ 1.073503  -0.6260889],[ 1.9219682 -2.0088518]
TOPHER,"Really?
                          (a glance among the
                           other players)
                   Really...",0.0916666666666666,[0.14901479 0.19726488],[ 1.8735632 -1.9394656]
RUSTY,"(half to divert
                           attention)
                   Barry, you're showing again.",-0.1666666666666666,[-0.2333987   0.56282985],[ 1.7149743 -1.7302127]
DANNY,I stole things.,0.0,[ 0.6096906  -0.08542118],[ 1.7223715 -1.7249566]
RUSTY,"Incan matrimonial headmasks.

      Looks are exchanged.      Everyone digests that.",0.0,[-1.5874878  1.6302074],[ 1.1883067 -1.1516467]
DANNY,Gallery.,0.0,[ 0.63312    -0.06661158],[ 0.78638226 -0.714587  ]
DANNY,Headmasks.   Some.,0.0,[-0.68869823  1.1142162 ],[ 1.5526512 -1.3982993]
RUSTY,"Don't let him fool you, Seth.
                   There's boatloads. If you can
                   move the things...
                          (finishing his deal)
                   One card to me.
                          (to Danny, pointedly)
                   ... but you can't.",0.0,[ 1.405483  -1.0553819],[ 1.6322441 -1.8867033]
DANNY,My fence seemed confident enough.,0.25,[-0.19536825  0.9190281 ],[ 1.6077309 -1.694198 ]
RUSTY,"If you're dealing with cash, you
                   don't need a fence.",0.0,[ 0.66906744 -0.48413548],[ 1.2783492 -1.3815163]
DANNY,Some people just lack vision.,0.0,[0.4482662 0.2392714],[ 1.3352796 -1.1909606]
RUSTY,Probably everybody in cell block E.,0.0,[0.8982647  0.02595288],[ 1.5937523 -1.6438051]
DANNY,"Well, that's all behind us now.",-0.4,[0.10512322 0.36884168],[ 1.2339844 -1.055028 ]
RUSTY,"I should hope so.

      Danny smiles, icily -- of course, it's not -- then pulls
      out his wallet.",-0.1,[0.1776799  0.10299944],[ 1.6502215 -1.7756025]
DANNY,"I raise you five hundred dollars.

      A hush in the room. Danny has thrown down the gauntlet.
      He and Rusty hold each other's stares.",-0.1402777777777777,[0.35589826 0.03939128],[ 1.6874453 -1.7967881]
RUSTY,"Guys: Day One: what's the first
                   rule of poker?",0.25,[ 0.8072456  -0.30505118],[ 1.8397903 -1.94229  ]
RUSTY,"That's right. My friend here just
                   raised me out of pique.
                          (beat)
                   Today's lesson. How to draw out
                   a bluff. This early in the game,
                   that much money, I'm thinking he's
                   holding nothing better than a pair
                   of face cards.
                          (beat)
                   Seth, raise him.",0.1371428571428571,[ 1.3931752  -0.98511463],[ 1.7466387 -1.9244447]
RUSTY,Tophe...,0.0,[ 0.7362993  -0.05130038],[ 1.2664969 -1.2547513]
TOPHER,"Seven to me.   Plus three.   What
                   the hell.",0.0,[ 0.5260744  -0.14195517],[ 1.4951171 -1.458417 ]
RUSTY,"Indeed. But be careful you don't
                   push him too high too fast. Want
                   to keep him on the leash. I call.

      It's Josh's turn.       He hesitates...",0.0866666666666666,[ 1.1972426  -0.87052774],[ 1.4666768 -1.6174847]
RUSTY,All you have to do is call.,0.0,[ 1.5129617 -0.7941253],[ 1.7967016 -1.570445 ]
DANNY,"(off Josh's further
                           hesitation)
                   What? Your girlfriend holding
                   your purse?

      That does it. Josh is in. The bet's to Danny. He
      checks his hand, and Seth starts to whisper to Topher.",0.0,[ 0.96380264 -0.68935287],[ 1.2082072 -1.3954583]
DANNY,"Contrary to what Mr. Ryan may say,
                   Seth, I always check my cards
                   before I make a bet. But be
                   cafeful. I could tell from your
                   face you're holding three of a
                   kind or better.
                          (digging his wallet
                           out)
                   Five hundred to call. And two
                   grand more.

      Danny stares Rusty down.      The others look a little pale.",0.2209920634920635,[ 1.4725283 -1.0979942],[ 1.6736082 -1.8925592]
RUSTY,"Guys, you're free to do what you
                   like. It's a lot of money. But
                   I'm staying in. He's trying to
                   buy his way out of his bluff.

      Nobody looks too eager to call, but nobody wants to
      leave a grand on the table, either. Finally, Seth
      ponies up, and the others -- not be outdone -- do, too.",0.275,[ 1.4698986 -1.0990471],[ 1.548717  -1.7661285]
RUSTY,"We call.

      Danny sets down his hand. Four nines. It's a winner.
      The others, jaws dropped, throw in their cards. For the
      first time tonight, Rusty blanches.",0.0472222222222222,[ 0.75049496 -0.26924518],[ 1.5859325 -1.5236946]
RUSTY,"Shit. Sorry, guys. I -- I was
                   sure he was bluffing.

      As Rusty plummets in the estimation of all the guys
      around him, Danny rakes in his pot.",-0.0666666666666666,[-0.04112013  0.38101926],[ 1.618277  -1.7330722]
DANNY,"Thanks for the game, fellas.
                          (then)
                   Hey, I hate to ask this, but
                   could you sign something for me?
                   It's for the guys in the joint.
                   They just love all your shows.",-0.125,[-0.38133925  0.50616765],[ 2.1006217 -2.2334096]
RUSTY,"That was, that was just...",0.0,[ 1.310863   -0.47850317],[ 1.7874988 -1.6332811]
DANNY,"Unprofessional.

      Rusty agrees.",0.0,[-0.6492322   0.96116996],[ 1.594893  -1.5592612]
RUSTY,"How was the clink? You get the
                   cookies I sent you?",0.0,[ 1.2806522  -0.88855743],[ 1.8964809 -1.9111496]
DANNY,"Why do you think I came to see you
                   first?

      Danny pulls out a wad of bills from his jacket, peels off
      half, and hands it to Rusty.",0.0416666666666666,[ 0.78590256 -0.46057752],[ 1.6683072 -1.8571161]
DANNY,Ten grand.   Half of it's yours.,0.1111111111111111,[-0.65692085  0.75266826],[ 1.3709224 -1.3652476]
RUSTY,"You barge into my new workplace,
                  ruin my professional reputation,
                  least you could do is tell me
                  you've got something better for
                  me.",0.1090909090909091,[-0.34854987  0.33333448],[ 1.1891179 -1.1305786]
DANNY,"I've got something better for
                  you.",0.5,[0.10145397 0.36466664],[ 1.5574615 -1.5435086]
RUSTY,"How's Tess?

     Danny stares at him:       next subject, please.",-0.0833333333333333,[0.11748131 0.07381777],[ 1.6239773 -1.608102 ]
RUSTY,Alright.   Tell me.,0.0,[-0.85216546  1.2411841 ],[ 1.6653334 -1.4761204]
DANNY,"It's tricky. No one's ever done
                  it before. Needs planning, a
                  large crew.",0.2142857142857142,[ 0.77569383 -0.5667523 ],[ 1.7844765 -1.6589147]
RUSTY,Guns?,0.0,[ 1.4846553 -0.7813035],[ 1.0626973 -1.0976583]
DANNY,"Not loaded ones. It has to be
                  very precise. There's a lot of
                  security. But the take...",0.52,[ 1.5435956 -1.0398086],[ 1.6427001 -1.7943283]
RUSTY,What's the target?,0.0,[ 2.2423732 -1.3399585],[ 1.4153179 -1.380781 ]
DANNY,Eight figures each.,0.0,[0.5390018  0.13073999],[ 1.1013396 -1.0352753]
RUSTY,What's.    The.    Target.,0.0,[ 0.19833067 -0.02258427],[ 1.5767523 -1.5063475]
DANNY,"(deep breath, then)
                  When's the last time you were in
                  Vegas?",0.0,[ 0.82227165 -0.42765006],[ 1.8222445 -1.9111626]
RUSTY,"What? You wanna knock over a
                  casino?

     Danny puts down his coffee. And shakes his head. And
     lifts three fingers: three casinos. Rusty must put down
     his coffee, too.",-0.1555555555555555,[ 0.6988718 -0.403506 ],[ 1.1983588 -1.4126006]
DANNY,"The vault at the Bellagio.

     A beat as Rusty scans the document, then another
     underneath it.",0.0,[-0.3109157   0.52797866],[ 1.7506021 -1.8655874]
RUSTY,"If I'm reading these right -- and
                  I think that I am -- this is
                  probably the least accessible
                  vault ever designed.
                         (beat)
                  Oops. Actually, you know what,
                  I'm wrong. It's definitely the
                  least accessible vault ever
                  designed.",-0.0080357142857142,[ 1.1460496 -0.8676079],[ 1.6394134 -1.8031478]
DANNY,"Yep.

     Rusty's brow furrows just a little.",-0.1875,[-0.8746914  1.1012264],[ 1.5978459 -1.5890695]
RUSTY,You said three casinos...,0.0,[ 0.98406535 -0.24157134],[ 1.7553675 -1.6777029]
DANNY,"(flips to next
                          blueprint)
                  These feed into the cages at both
                  the Mirage and the M.G.M. Grand.
                         (tapping vault)
                  But every dime ends up here.",0.25,[ 0.82277733 -0.5252631 ],[ 1.6299511 -1.8020211]
RUSTY,"The Bellagio, Mirage, and... These
                  are Terry Benedict's places.",0.0,[-0.86070836  1.0384583 ],[ 1.873431  -1.8358088]
DANNY,"Yes, they are.     Think he'll mind?",0.0,[-1.0902933  1.2606176],[ 1.5315329 -1.4971944]
RUSTY,More than somewhat.,0.5,[0.5626228  0.12234082],[ 1.1726395 -1.099635 ]
RUSTY,"You'd need at least a dozen guys,
                  doing a combination of cons.",-0.3,[0.06465739 0.17490083],[ 1.7077099 -1.6160553]
DANNY,"Like what, you think?",0.0,[ 1.9064943 -1.1275227],[ 1.7282022 -1.7424576]
RUSTY,"Well, off the top of my head, I'd
                  say you're looking at a Boesky, a
                  Jim Brown, a Miss Daisy, two
                  Jethros, and a Leon Spinks. Oh,
                  and the biggest Ella Fitzgerald
                  ever.
                         (beat)
                  Where do you think you're gonna get
                  the money to back this?",0.25,[ 1.1784292  -0.94071186],[ 1.4586293 -1.6067696]
DANNY,"As long as we're hitting these
                  three casinos, we'll get our
                  bankroll. Terry Benedict has a
                  list of enemies.",-0.05,[-0.6986028  0.8477273],[ 1.0010021 -1.3478179]
RUSTY,"But does he have enemies with
                  loose cash and nothing to lose...
                         (smiles, realizing)
                  Aha.",-0.0769230769230769,[-0.36707348  0.4073474 ],[ 1.42276   -1.6354433]
DANNY,"(smiles, too)
                  Aha.",0.0,[-1.1672989  1.3173558],[ 1.7104557 -1.7110013]
RUSTY,Reuben.,0.0,[ 1.2475859  -0.44752654],[ 1.2659355 -1.2346572]
DANNY,So...,0.0,[ 0.740791   -0.14651547],[ 1.3507608 -1.2897704]
RUSTY,"So, here's what I think: You
                  should take this plan, kick it
                  around for a week or two. Sleep
                  on it. Turn it over in your head.
                  Then: never bring it up to me
                  again.",0.0,[ 1.0971731 -0.8053198],[ 1.4486213 -1.4870241]
DANNY,Uh-huh.    So what are you saying?,0.0,[-1.0455618  1.3856696],[ 1.846322  -1.7989012]
RUSTY,"I'm saying: this is like trying
                  to build a house of cards on the
                  deck of a speeding boat.",0.0,[-0.364367   0.7285547],[ 1.4614178 -1.5529958]
DANNY,"Really? I thought it was much
                  harder than that --

     Suddenly the Security Guard's flashlight beam hits them
     square in the eyes. Danny and Rusty put their hands up
     to block the light.",0.125,[0.35700315 0.09682097],[ 1.6330918 -1.6531266]
DANNY,"Jesus, Oscar, lower it a little,
                  will ya?",-0.1875,[-0.12607902  0.4584434 ],[ 1.5296406 -1.4704531]
DANNY,"Yeah, thanks. You mind if we
                  borrow a couple drawings for the
                  night? Make some copies.",0.2,[ 0.6525212  -0.47793624],[ 1.8633373 -1.8813486]
DANNY,'Preciate it.,0.0,[0.16490574 0.68482965],[ 1.4463543 -1.444996 ]
RUSTY,"I need a reason. And don't say
                  money.
                         (beat)
                  Why do this?",0.0,[ 0.9306514  -0.42478427],[ 1.6513425 -1.7506129]
DANNY,"Why not do it?

     Rusty stares at him:    enough bullshitting around.",0.0,[0.08606985 0.20775032],[ 1.7746632 -1.7772584]
DANNY,"Because yesterday I walked out of
                  the joint wearing my entire
                  wardrobe and you're colddecking
                  TeenBeat coverboys.
                         (beat)
                  Because the house always wins.
                  You play long enough, never
                  changing stakes, the house takes
                  you. Unless, when that special
                  hand comes around, you bet big.
                  And then you take the house.

     A beat.   Rusty smiles.",0.1011904761904762,[ 0.938494  -0.6933475],[ 1.4374019 -1.5678684]
RUSTY,"You're been practicing that
                  speech, haven't you?",0.0,[-1.4007214  1.4526929],[ 1.5034833 -1.3890109]
DANNY,"A little. Did I rush it?   It felt
                  like I rushed it.",-0.1875,[ 0.7542457 -0.3227426],[ 2.0175388 -1.9683751]
RUSTY,"No, it was good.

     They step aboard the elevator.     As the door closes:",0.7,[-0.8576888  1.1780351],[ 1.8309238 -1.6996322]
RUSTY,"I wonder what Reuben will say?

     Danny and Rusty look at each other.",-0.125,[0.03407654 0.43620503],[ 1.8111175 -1.7514507]
TISHKOFF,"Are you listening to me? You are,
                  both of you, nuts. I know more
                  about casino security than any man
                  alive. I invented it, and it
                  cannot be beaten. They got
                  cameras, they got watchers, they
                  got locks, they got timers, they
                  got vaults. They got enough armed
                  personnel to occupy Paris. Okay,
                  bad example...",0.08,[ 0.9210739 -0.6483434],[ 1.1602112 -1.3190944]
DANNY,It's never been tried.,0.0,[ 1.123104 -0.341942],[ 1.5352327 -1.429186 ]
TISHKOFF,"Oh, it's been tried. A few guys
                  even came close. You know the
                  three most successful robberies in
                  Vegas history?",0.35,[-0.7700034  0.8193319],[ 1.606403  -1.6286243]
TISHKOFF,"And the closest any man has gotten
                  to robbing a Las Vegas casino...",0.0,[-0.94214857  0.82882595],[ 1.4967655 -1.5060816]
TISHKOFF,"Outside of Caesar's in '87.   He
                  came, he grabbed, he got
                  conquered.

     RESUME ACTION: BULLETS rip the man to shreds and he
     collapses on Caesar's steps a bloody pulp.",-0.2333333333333333,[ 0.60840786 -0.2531935 ],[ 0.51400983 -0.8407085 ]
TISHKOFF,"But what am I saying? You guys
                  are pros, the best. I'm sure you
                  can make it out of the casino. Of
                  course, lest we forget, once
                  you're out the front door, you're
                  still in the middle of the fucking
                  desert!

     Both Danny and Rusty look chastened.",0.1875,[ 0.78303236 -0.5213456 ],[ 1.5421367 -1.6109234]
RUSTY,"You're right.
                         (to Danny)
                  He's right.",0.2857142857142857,[-0.69901985  1.0516553 ],[ 1.7018846 -1.6572217]
DANNY,"Reuben, you're right. Our eyes
                  are bigger than our stomachs.",0.1428571428571428,[-0.6842621   0.97488475],[ 1.2875593 -1.3198483]
RUSTY,That's exactly it. Pure ego.,0.2142857142857142,[0.18170461 0.5291769 ],[ 0.97900414 -0.8851483 ]
TISHKOFF,Yeah yeah blah blah.,0.0,[-0.943585   1.0850205],[ 1.4528085 -1.3994975]
DANNY,"Thank you so much for setting us
                  straight. Sorry we bothered you.

     They both rise to go.",-0.0333333333333333,[-1.0412279  1.3491396],[ 1.8646395 -1.8165346]
TISHKOFF,"Look, we all go way back. I owe
                  you from that thing with the guy
                  in the place, and I'll never
                  forget it.",0.0,[ 0.8635153  -0.43931764],[ 1.6995069 -1.6758865]
DANNY,It was our pleasure.,0.0,[-0.07032973  0.408891  ],[ 1.3855892 -1.2709416]
RUSTY,I'd never been to Belize.,0.0,[ 1.3119565 -0.556077 ],[ 1.625771  -1.7138855]
TISHKOFF,"Give Dominic your addresses, I got
                  some remaindered furniture I wanna
                  send you.

     Danny and Rusty begin to circle the pool to leave.
     Tishkoff, of course, won't let them go that easily.",0.4333333333333333,[ 0.9606588  -0.54480445],[ 1.4322948 -1.5625616]
TISHKOFF,"Just out of curiosity, which
                  casinos did you geniuses pick to
                  rob?

     Danny stops, almost as if he's been waiting for this
     question, which of course he has.",0.0,[ 0.34275308 -0.12670974],[ 1.7939385 -1.9968611]
DANNY,"The Bellagio, Mirage, and the
                  M.G.M. Grand.",0.5,[0.19168974 0.24168143],[ 1.9745286 -1.9404892]
TISHKOFF,"(nostrils flared,
                           smelling a rat)
                  Those are Terry Benedict's
                  casinos.",0.0,[-0.48462886  0.68713826],[ 1.0257856 -1.2396182]
RUSTY,"Say, you know, he's right.

     Tishkoff waves them back, sipping on his umbrellaed
     cocktail.",0.1428571428571428,[-0.48947406  0.62600344],[ 1.6733326 -1.719651 ]
TISHKOFF,"You guys... Whadda you got against
                  Terry Benedict?",0.0,[ 1.1835002  -0.75278986],[ 1.9440655 -1.9963702]
DANNY,"What do you have against him?
                  That's the real question.",0.2,[ 0.80081445 -0.3294676 ],[ 1.714326  -1.7172306]
TISHKOFF,"He torpedoed my casino, muscled me
                  out, now he's gonna blow it up
                  next month to make way for another
                  fuckin' eyesore. Don't think I
                  don't see what you're doin'.",0.0,[ 0.93160534 -0.58367074],[ 0.84923434 -1.1870935 ]
RUSTY,"What are we doing, Reuben?",0.0,[ 2.134881  -1.2596394],[ 1.8786746 -1.9641856]
TISHKOFF,"You gonna steal from Terry
                  Benedict, you better goddamn know.
                  This sorta thing used to be
                  civilized. You'd hit a guy, he'd
                  whack you. Done. But Benedict...
                         (bristles)
                  At the end of this he better not
                  know you're involved, not know
                  your names, or think you're dead.
                  Because he'll kill you, and then
                  he'll go to work on you.",0.3,[ 1.0573156  -0.78132206],[ 1.2626557 -1.4136325]
DANNY,"That's why we've got to be very
                  careful. We have to be precise.
                  We have to be well-funded.",0.135,[-0.08031665  0.369119  ],[ 1.7084192 -1.7266455]
TISHKOFF,"Yeah, you gotta be nuts, too. And
                  you're gonna need a crew as nuts
                  as you are.
                         (pregnant silence)
                  Who do you have in mind?

     Danny and Rusty both smile; they've hooked their fish.
     And so it begins...",0.3166666666666666,[ 0.99905914 -0.65696424],[ 1.1307238 -1.3485416]
RUSTY (V.O.),Alright.   Who's in?,0.0,[ 0.45801997 -0.01345153],[ 1.5559682 -1.5582434]
DANNY (V.O.),Frank C. is in.,0.0,[ 1.1649879  -0.30973744],[ 1.4274021 -1.4486264]
DANNY (V.O.),"Frank C. has developed a bad case
                  of bronchitis and is putting in
                  for a transfer to warmer climates.",-0.2999999999999999,[ 0.5908796  -0.21804744],[ 1.7977549 -1.8174592]
DANNY (V.O.),What about drivers?,0.0,[ 1.3368347  -0.51994765],[ 1.6742684 -1.4273938]
RUSTY (V.O.),I talked to the Malloys yesterday.,0.0,[0.02578422 0.5320349 ],[ 2.03353   -1.8818262]
DANNY (V.O.),The Mormon twins?,0.0,[ 0.88510406 -0.14554396],[ 1.5938214 -1.6051211]
RUSTY (V.O.),"They're both in Salt Lake City,
               six months off the job. I got the
               sense they're having trouble
               filling the hours.

     Lights flash red-to-yellow-to-green and while the TRUCK
     COATS RUBBER on the track, Virgil's toy zips to a lead.
     It's looking to be an embarrassment for Turk until he
     jerks his wheel a little and -- ka-thunk -- flattens his
     brother's vehicle.

     Virgil pouts as he plucks up the wreckage of his entry.",-0.19375,[ 0.9121236 -0.606304 ],[ 1.6595482 -1.7371218]
DANNY (V.O.),Electronics?,0.0,[ 1.1396784 -0.4946174],[ 1.5454825 -1.4668645]
RUSTY (V.O.),Livingston Dell.,0.0,[0.5628733  0.01995364],[ 1.3450515 -1.2959551]
RUSTY (V.O.),"Livingston's been doing freelance
                  surveillance work of late for the
                  F.B.I. Mob Squad.",-0.3,[-1.3702463  1.4170686],[ 2.070598 -2.067243]
DANNY (V.O.),How are his nerves?,0.0,[ 2.1903183 -1.3436244],[ 1.5891242 -1.5452992]
