Name,Line,Sentiment
LAURA,"Oh my God. It's like a girl broke up with
          you and you're stalking her.
                 (then, looks at him --)
          You're not still going by there, are you?",0.0
SEBASTIAN,"No.

A beat. Then --",0.0
SEBASTIAN (CONT'D),"They've turned it into a tapas-samba
          place. You believe that?",0.0
LAURA,Seb --,0.0
SEBASTIAN,Who wants to tapas while they samba?,0.2
LAURA,I have someone I want you to meet.,0.0
SEBASTIAN,I don't want to meet anyone.,0.0
LAURA,You'll like her.,0.0
SEBASTIAN,Uh-huh. Does she like jazz?,0.0
LAURA,Probably not.,0.0
SEBASTIAN,Then what are we gonna talk about?,0.0
LAURA,You'll talk about the weather.,0.0
SEBASTIAN,"Ok. Then I have someone I'd like you to
          meet. He's got a face tattoo, but a heart
          of gold.
                           Revision                      12.",0.0
LAURA,Sebastian --,0.0
SEBASTIAN,How long's it been?,-0.05
LAURA,"You need to get serious. You live like a
          hermit. You're driving without insurance.",-0.09848484848484848
SEBASTIAN,"I am serious. I had a very serious plan
          for my future. It's not my fault I got
          Shanghai'ed.",-0.25555555555555554
LAURA,"You did not get ""Shanghai'ed"", you got
          ripped off.",0.0
SEBASTIAN,What's the difference?,0.0
LAURA,"It's not as romantic as that.
                 (she starts to walk off)
          And everyone knew that guy was shady
          except for you.",-0.125
SEBASTIAN,"Why do you say romantic like it's a dirty
          word?",-0.3
LAURA,"Unpaid bills are not romantic. Call her.

She heads to the door. He follows her, won't give it up --",0.1
SEBASTIAN,"You're acting like life's got me on the
          ropes -- what you don't understand is, I
          want to be on the ropes. I'm letting life
          hit me `til it gets tired. Then I'm gonna
          make my move. It's a classic rope-a-dope.

Laura can't help but laugh. Stops by the door. Looks at him.",0.016666666666666656
LAURA,I love you. Unpack your boxes.,0.5
SEBASTIAN,"I'm changing the locks.
                                  Revision                       13.",0.0
LAURA,"(out the door with a smile --)
                You can't afford it.

      She's gone. Sebastian thinks for a beat, then calls out --",0.3
SEBASTIAN,"I'm a phoenix rising from the ashes!

      No reply to his triumphant declaration. He shuts the door.
      Looks again at the napkin. Thinks. Tosses it in the trash.",0.0
SEBASTIAN,"(putting on a smile)
                Bill. Thanks for having me back.",0.16666666666666666
SEBASTIAN,"Of course.
                      (under his breath as he heads
                       to the piano)
               Though I don't think they care what I
               play.",0.0
SEBASTIAN,"How `bout one for you, one for me? Or two
               for you, one for me?
                      (the Boss just glares)
               Or all for you, none for me? Ok, that
               works. Good deal.

     Sebastian sits down at the keys. A WAITRESS passes by.",0.3481481481481481
SEBASTIAN,"There's a nice way to say that.

     With that -- he starts playing ""Jingle Bells"".",0.6
SEBASTIAN,"I'll stick to the set list, I promise --",0.0
SEBASTIAN,"You're not gonna find a better player. You
          know that.",0.5
MIA,"I just wanted to say -- I saw your
          playing, and I --

-- but Sebastian just walks right by -- his shoulder
bumping against Mia's for an added measure of disdain.

He heads out the door. Slams it shut. Mia is left standing on
her own. She looks like she's just been slapped.",0.29523809523809524
MIA (CONT'D),"I don't like the fissure on the GT scan.
               Did you test for achromatopsia?

31   Then, a second audition --",0.0
MIA (CONT'D),"D.O.A. on 23rd, perp laughing his face off
               at P.D. Damn Miranda Rights.

32   And finally, a third audition --",0.0
MIA (CONT'D),"This is my classroom. You don't like it,
               the door's to my left.",0.0
MIA,"No, Jamal. You be trippin'.",0.0
MIA,"(takes this in; then --)
               Congratulations. I have to grab a drink...
                              Revision                        17.


     She slips away. Presses toward the bar. The music gets louder,
     more obnoxious. She peers toward the band to get a look...

     And then she sees him. Sebastian.

     Playing keyboard-guitar for the band. Dressed up like his band-
     mates in a bright polyester outfit. And hating every second.

     The band finishes, and the SINGER addresses the (thin) crowd.",0.20000000000000004
MIA,"""I Ran"".

     Sebastian turns. Sees Mia, looking at him with a defiant grin,
     enjoying her power. He thinks -- then recognizes the face.",0.5
SEBASTIAN,"Ok. I remember you.

     Mia looks at him. One eyebrow raised. Yeah?",0.0
SEBASTIAN (CONT'D),And I'm sorry if I was curt that night.,-0.5
MIA,"""Curt""?",0.0
SEBASTIAN,"Ok I was an asshole. I can admit that.
                          Revision                       18.",0.5
MIA,Ok.,0.0
SEBASTIAN,"But requesting ""I Ran"" from a serious
          musician -- it's too far.",-0.11666666666666665
MIA,"My God. Did you just call yourself ""a
          serious musician""?",-0.3333333333333333
SEBASTIAN,"(beat)
          I don't think so.",0.0
MIA,Can I borrow what you're wearing?,0.0
SEBASTIAN,Why?,0.0
MIA,"Because I have an audition next week. I'm
          playing a serious fire-fighter.",-0.16666666666666666
SEBASTIAN,"(irritation building --)
          So you're an actress. That makes sense.
          Have I seen you in anything?",0.0
MIA,"Uh... The coffee shop on the Warner
          Brothers lot. That's a classic.",0.16666666666666666
SEBASTIAN,"Oh, you're a barista. Well now I see how
          you can look down on me from all the way
          up there.",-0.15555555555555559
SEBASTIAN,He doesn't tell me what to do.,0.0
MIA,He just told you what to do.,0.0
SEBASTIAN,"I let him.
                              Revision                          19.


     A beat.",0.0
SEBASTIAN (CONT'D),What's your name?,0.0
MIA,Mia.,0.0
SEBASTIAN,"Mia. Guess I'll see you in the movies.

     He heads back to the keys, and the band resumes:",0.0
MIA,"(to Sebastian)
               George Michael!

     Sebastian stops. Looks at her. Surprised.",0.1
SEBASTIAN,You again.,0.0
MIA,"Did you just get your keys?

     Sebastian thinks. Sees the Valet. Playing it off --",0.0
SEBASTIAN,"...Yeah.
                               Revision                       20.",0.0
MIA,Can you grab mine?,0.0
SEBASTIAN,...Which one is it?,0.0
MIA,"The Prius.

     A beat. Sebastian turns to the Valet's box. Motions to the
     Valet: Sorry. One second. Looks. All the keys are Prius keys.",-0.25
MIA (CONT'D),"The one with the green ribbon.

     Another beat. Sebastian finds it. Grabs it.",-0.2
MIA (CONT'D),"(almost tripping in her heels)
               Shit...",-0.2
SEBASTIAN,Those look comfortable.,0.4
MIA,"They are...n't.

     A beat. She aims again. No beep.",0.0
MIA (CONT'D),Thank you for saving the day back there.,0.0
SEBASTIAN,You didn't give me much of a choice.,0.2
MIA,"Strange that we keep running into each
               other.",-0.0875
SEBASTIAN,It is strange. Maybe it means something.,-0.05
MIA,I doubt it.,0.0
SEBASTIAN,"Yeah I don't think so either.
                         Revision                        21.


On that, Mia aims again. As always -- no beep. Noticing --",0.0
SEBASTIAN (CONT'D),Put the clicker under your chin.,0.0
MIA,"What?

Sebastian demonstrates with his fob. He looks idiotic.",-0.6666666666666666
SEBASTIAN,"It turns your head into an antenna.
          Probably gives you cancer, but you find
          your car more quickly.",0.41666666666666663
MIA,Uh-huh.,0.0
SEBASTIAN,"You don't live as long, but you get
          things done faster, so it all evens out.",0.043181818181818175
MIA,"Oh my God.

Just then, they reach a clearing -- AND THE CITY SKYLINE
APPEARS BELOW. A ribbon of lights, stretching as far as you
can see. It's the most romantic sight imaginable. They look
at each other. A beat. And then --",0.11875
MIA (CONT'D),"Eh.

They walk on, the lights shimmering behind.",-0.4
SEBASTIAN,Not much to look at.,-0.1
MIA,"Agreed. I've seen better.

And on that -- they SING. [A LOVELY NIGHT]

Mia and Sebastian try to downplay the romanticism of this
setting, this moment -- being lost here, at night, alone
together, atop a hill, the city glittering before them. It's
""no big deal"", nothing they haven't seen or felt before --
because, after all, there's no chance for romance between
them...

Of course, the music, swelling and building, suggests
otherwise. Mia tires of her heels, finds a bench and fishes
for flats in her handbag. Sebastian sits beside her as she
slips the flats on. They look at each other, suspicious...
                         Revision                        22.


He moves his foot. She moves hers. They look at each other
again. Still suspicious...

He moves again. She moves again. They seem to be moving in
sync -- without their even wanting to...

And -- bit by bit -- before our eyes -- they've almost
slipped into DANCE...

Sebastian rises. Mia rises as well. The two look at each
other. Run back to the bench, hop atop it -- the lights
stretch out like a magic carpet. They share a moment -- share
a look -- jump off -- AND START REALLY DANCING NOW...

Mia does a move, Sebastian responds. Sebastian does a move, Mia
shakes her head: ""Nope"". They make the road their own, growing
more and more energized, as surprised as we are to find --

...that they can really dance together.

Just as this starts to look like a blossoming romance, real
joy peeking through, our two heroes getting closer and closer
and closer, looking at each other almost giddily...

...a sound cuts through. It's a CELL PHONE ring.

Mia and Sebastian turn -- to her handbag, back by the bench.
Snapped out of it, Mia heads over and pulls out her cell.",0.25
MIA (CONT'D),"Hey... Greg...? Can you hear me...? Yeah,
          I'm just leaving now... K, see you soon...

She hangs up. Looks at Sebastian. An awkward silence. Finally --
she presses her fob again. Puts it under her chin this time. A
BEEP can be heard. They see her Prius.",-0.3
MIA (CONT'D),"Ah. Great... Well... Do you want a ride
          to your car?",0.8
SEBASTIAN,"No, that's fine... Thanks...",0.30833333333333335
MIA,"...Ok...

Not sure what else to say, she heads to her vehicle. Waves.",-0.25
MIA (CONT'D),"Night.

Sebastian waves back. Mia drives off. Fast. Silence...
                                 Revision                        23.


      Looking even more disappointed than he thought he'd be,
      Sebastian walks on for a bit -- then retreats back down.

A37   Comes to a stop across from the party, and we see his Riviera --
      right, it seems, where he knew it was all along. He pulls out
      his keys -- they don't have a clicker after all.",0.011451247165532866
MIA,No...,0.0
MIA,I have an audition. Remember?,0.0
MIA,But you said --,0.0
MIA,"...Hi.
                       (then)
                What are you doing here?",0.0
SEBASTIAN,"Meetings. Studio heads.
                               Revision                       24.",0.0
MIA,Uh-huh. How'd you get on the lot?,0.0
SEBASTIAN,"Piece of cake.

     Mia looks at him. He's sweating through his shirt. A beat.",0.0
SEBASTIAN (CONT'D),"Actually it took me four hours and I
               ended up running. We probably have twenty
               minutes before the guy finds me. You got
               a break coming up?

     Mia laughs. A moment.",0.0
MIA,I'm off in ten.,0.0
SEBASTIAN,Great. I'll hide in the bathroom.,0.8
MIA,"That's the window Ingrid Bergman and
               Humphrey Bogart looked out of in
               Casablanca.

     Sebastian nods. They start walking.",0.0
SEBASTIAN,"What's your Bogart's name...?
                      (Mia looks at him)
               Is it Greg?",0.0
MIA,Yeah. Greg.,0.0
SEBASTIAN,How long have...?,-0.05
MIA,"We've been seeing each other for a few
               months.

     An awkward beat. They pass a wooden SALOON -- where a WESTERN
     is being shot. Extras in COWBOY costumes drink coffee on the
     steps.
                         Revision                        25.",-0.185
MIA (CONT'D),"I love this stuff. Makes coming to work
          easier.",0.5
SEBASTIAN,"I know what you mean. I get breakfast
          five miles out of the way just to sit
          outside a jazz club.",-0.15625
MIA,Oh yeah?,0.0
SEBASTIAN,"It was called Van Beek. The swing bands
          played there. Count Basie. Chick Webb.
                 (then,)
          It's a samba-tapas place now.",0.0
MIA,A what?,0.0
SEBASTIAN,"Samba-tapas. It's... Exactly. The joke's on
          history.

Mia laughs.",0.25
SEBASTIAN (CONT'D),"Anyway, that's L.A. They worship everything
          and they value nothing.

They reach a patch of green. Another shoot. A P.A. yells out:",-0.2
MIA,"(to Sebastian)
          We need to wait here.",0.0
SEBASTIAN,"I know. They shoot movies on my street.
          ""C-stands."" ""Apple box."" ""Don't forget to
          sign out.""

Mia laughs. A beat.",0.0
SEBASTIAN,"How'd you get into all this?
                               Revision                          26.",0.0
MIA,"Into...? Oh -- I -- my aunt was an
                actress. She was in this traveling
                theater company... And there was this
                little library across the street from my
                house when I was growing up. This was
                Boulder City, Nevada -- every house
                looked exactly the same. I was ten and
                already I needed to get out. And one day,
                my aunt flew into town, and she showed me
                the library's old-movie section. We spent
                a whole day watching one after the other.
                Bringing Up Baby. Notorious. Casablanca.
                       (a beat; then,)
                I never knew the world was so big.",0.004687500000000001
MIA,"I started putting on plays in my garage.
                I'd write the scripts and print up
                programs, and she'd give me props to use
                from wherever she'd just been -- New
                York, London, Paris. And then she'd jet
                off again and I wouldn't hear from her
                for another year.",0.13636363636363635
SEBASTIAN,"Who would you invite to watch? Your
                parents?",0.0
MIA,"God no -- I didn't invite anyone. That
                would have been terrifying.

C40   CUT TO: The entrance to a giant soundstage.",-0.5
MIA (CONT'D),"Honestly, I wish I loved something else.
                I've tried so hard to want other things.

      She and Sebastian stop. Peer inside the stage.",0.22083333333333327
MIA (CONT'D),"I left school after two years to come here,
                my fourth manager just dropped me, and my
                last audition was for a teen soap pitched
                as Dangerous Minds meets The O.C.
                       (a beat; then, deadpan --)
                Should've been a lawyer.
                               Revision                        27.


      They resume walking.

D40   CUT TO: A row of closed soundstages, sandy-tan against the
      bright blue sky.",-0.0611111111111111
SEBASTIAN,...`Cause the world needs more lawyers.,0.5
MIA,Well it doesn't need more actresses.,0.5
SEBASTIAN,You're not just an actress.,0.0
MIA,"What do you mean, ""just an actress""?",-0.3125
SEBASTIAN,"You said it yourself, you're a child-
                prodigy playwright.",0.0
MIA,That is not what I said.,0.0
SEBASTIAN,"You're too modest to say it but it's
                true. So you could write your own roles.
                Write something that's as interesting as
                you are.",0.38749999999999996
MIA,"Last thing I wrote was a stand-up routine
                for an open-mic night. It was horrible.",-0.5
SEBASTIAN,"All I'm saying is -- Louis Armstrong
                could have played the marching-band
                charts he was given. What did he do
                instead? He made history.",0.0
MIA,"Ok, I'll stop auditioning and make
                history instead.

      Sebastian laughs.",0.5
MIA (CONT'D),"Anyway -- I'm getting a feeling there's
                something I should tell you...",0.0
SEBASTIAN,"Yeah?
                                Revision                       28.",0.0
MIA,"I hate jazz.

     Sebastian stops. Turns to her.",-0.8
SEBASTIAN,"What does that mean? ""I hate jazz""?",-0.55625
MIA,"It means when I listen to it I don't like
               it.",0.0
SEBASTIAN,"But it's such a blanket statement. It's
               like saying ""I hate animals"".",-0.4
MIA,I do hate some animals.,-0.8
SEBASTIAN,"Do you need to be anywhere right now?

     Mia looks at him. We hear DRUMS. A swinging ride pattern. And
     we're in --",0.2857142857142857
SEBASTIAN (CONT'D),"Most people say they hate jazz because
               they don't have context. They don't get
               where it came from. All these people
               packed into flophouses in New Orleans,
               speaking five different languages, and
               jazz was how they talked to each other.",-0.05772727272727274
MIA,I thought it was just Kenny G.,0.0
SEBASTIAN,"...What?

     Mia looks at him. Already knows just how to get to him.",0.0
MIA,"I associate it with facials. It's
               relaxing.",0.0
SEBASTIAN,"It's not relaxing! Sid Bechet got into a
               gunfight `cause somebody told him he
               played a wrong note!
                         Revision                           29.",-0.625
MIA,"(laying it on thick)
          Right, but it's good to talk over. Where
          I grew up there's this jazz station
          they'd play at cocktail parties whenever
          they served the salami and cheese.",0.22857142857142854
SEBASTIAN,"Mia. These are things you can't unsay.

She bursts into laughter. Sebastian points to the band --",0.0
SEBASTIAN (CONT'D),"It's not cocktail music -- it's a high-
          wire act. These guys are performing and
          composing and rearranging all at once.

A beat. Mia looks at the band. We DRIFT over the instruments...",0.16
SEBASTIAN (CONT'D),"That's why you need to be in the space
          and see what's at stake. This whole thing
          -- it's dying. In twenty minutes they'll
          head off to cut commercial sessions or do
          pit at the Pantages `cause they have to --
          but when I have my own place -- my club --
          they'll play whatever they want.

Mia looks at Sebastian. Her laughter has subsided. She can
see something in him now -- the same passion he's speaking of...",0.2
MIA,Your club?,0.0
SEBASTIAN,"...It's gonna be the old Van Beek. I'm
          getting the lease back. It'll be perfect.

He watches the band. Lost in the sound. Then -- sincere --",0.4
SEBASTIAN (CONT'D),"The world tells everyone to move on. Says
          the music's had its moment. But I love it
          too much. I'm not moving on.

The band finishes. The ride cymbal sizzles in the air...",0.35
SEBASTIAN (CONT'D),"So?

He looks at Mia. She's visibly moved.

Just then -- we hear a BEEP. Mia looks at her phone.
                                Revision                      30.",0.0
MIA,"Hi, I just missed a call...",0.0
MIA (CONT'D),I got a call-back!,0.0
SEBASTIAN,Really? For what?,0.2
MIA,That show I told you about.,0.0
SEBASTIAN,Dangerous Minds meets The O.C.?,-0.6
MIA,"Right. It's -- actually more like Rebel
               Without a Cause.",0.39285714285714285
SEBASTIAN,"That's amazing! ""I got the bulletsssss!""

     Mia laughs. But Sebastian can tell something in her laugh...",0.61875
SEBASTIAN (CONT'D),"You've seen it, right?",0.2857142857142857
MIA,"Obviously.
                      (a beat; then --)
               No.",0.0
SEBASTIAN,What? You're the movie person.,0.0
MIA,It's the one I lie about.,0.0
SEBASTIAN,"Come on. You can't do this audition and
               never see Rebel. The theater near me's
               playing it. If you want -- I can take
               you. For research.",0.1
MIA,"(considering this)
               ...Ok.
                              Revision                          31.",0.0
SEBASTIAN,10pm Monday at the Rialto. Cool?,0.35
MIA,"Ok.
                      (another nod, taking it in)
               For research.

     Mia looks at him -- he looks at her -- each of them
     suppressing a newfound giddiness... And on that --",0.0
MIA (CONT'D),"Hi, Mom!",0.0
MIA,"Great, actually: I got a call-back on a pilot.",0.4
MIA,Well -- it's not picked up yet.,0.0
MIA,"First they make the pilot, then if they
               like the pilot it goes on TV.
                              Revision                           32.",0.25
MIA,"Well, no, I have a call-back.",0.0
MIA,It's another audition.,0.0
MIA,"...Well when you put it like that it
               sounds like a huge accomplishment.",0.4000000000000001
MIA,Oxygen.,0.0
MIA,"You know what, I have to go. I love you.

     She hangs up. Takes a deep breath. Enters the building.",0.25
MIA,"Two options. Follow my rules, or follow
               my rules. Kapish? You want to bully,
               you'd best be ready to get bullied --",0.6
MIA,I can do it another way --,0.0
MIA,Shit. No. Yes. I'll change...,-0.2
MIA,"I'm sorry.

     -- and -- as the sounds of a FULL ORCHESTRA swoop in --

     -- RUNS out of the restaurant as fast as she can.",0.016666666666666663
MIA (CONT'D),I have an idea.,0.0
MIA,It's a play. I'm going to put it on myself.,0.0
MIA,"Actually -- it's a -- it's a one-woman
                show...

      A beat -- and then --",0.0
MIA,"(glowing)
                I think so.",0.0
SEBASTIAN,"Keith?
                            Revision                       41.",0.0
KEITH,"Holy shit. Come here, man.

Sebastian gets up. Gives him a hug. But Mia can sense an
unease in Sebastian's eyes. It's a strained hug.",-0.2
SEBASTIAN,"This is Mia. Mia, Keith.
                   (explaining to Mia)
            We used to play together.",0.0
KEITH,So how've you been?,0.0
SEBASTIAN,Great. You?,0.8
KEITH,Keeping busy. Got a new combo.,0.11818181818181818
SEBASTIAN,Good for you.,0.7
KEITH,...Looking for keys.,0.0
SEBASTIAN,"(after a beat)
            I'm good.",0.7
KEITH,"You sure? It pays.

Sebastian looks at Keith. A moment.",0.5
SEBASTIAN,"I'm good.

Keith almost smiles. Expected this.",0.3
KEITH,"Let's just grab a drink then. Call me.
            It's been too long.",-0.05
SEBASTIAN,You bet.,0.0
KEITH,"Nice meeting you, Mia.
                              Revision                           42.",0.6
MIA,"Nice meeting you.

     Keith walks off. Mia and Sebastian look at each other. Then --",0.2375
SEBASTIAN,It's beautiful.,0.85
MIA,...You're just saying that.,0.0
SEBASTIAN,"No... I'm not.

     We PULL BACK -- and see a script on Mia's lap. She's just
     finished reading Sebastian her play.",0.0
MIA,"I don't know... Is the whole thing too
               nostalgic?",-0.15
SEBASTIAN,That's the point.,0.0
MIA,But do you think people will like it?,0.0
SEBASTIAN,Fuck `em.,-0.4
MIA,"(laughs)
               You always say that.",0.0
SEBASTIAN,I truly believe it.,0.0
MIA,"Fine -- as long as you sit front-row
               `cause I'll probably throw up on the
               middle of the stage otherwise.",0.12222222222222223
SEBASTIAN,"I'll be front-row.

     Mia looks at him. Smiles. It genuinely means the world to
     her. Then, a glow in her eyes, wants to reciprocate --
                           Revision                       43.",0.30000000000000004
MIA,"I made something for you.

She hops off the bed, fishes through a bag. Pulls out a
drawing.",0.0
SEBASTIAN,What's that?,0.0
MIA,It could be the name design. On the door.,0.0
SEBASTIAN,"Why does it say ""Seb's""?",0.0
MIA,That's what you should name it.,0.0
SEBASTIAN,Never.,0.0
MIA,"Sebastian, no one's going to a club called
          ""Chicken on a Stick"".",-0.6
SEBASTIAN,"You don't get it. Charlie Parker got the name
          ""Bird"" because he loved chicken. So my club's
          gonna be old-school jazz and beer and
          chicken. ""Chicken on a Stick"".",-0.275
MIA,"No. Drop the chicken. Drinks and jazz.
                 (he rolls his eyes)
          And it's time to start looking for other
          places.",-0.3625
SEBASTIAN,"It's gotta be Van Beek. I can't let them
          samba all over its history.",0.0
MIA,"Make your own history.

Sebastian looks at her. Appreciates that line. A beat. Then --",0.6
SEBASTIAN,"Your play's incredible.

Mia smiles. He approaches her, sits by her side.",0.9
SEBASTIAN (CONT'D),"The whole world from your bedroom? Who's
          doing that?
                         Revision                    44.",0.2
MIA,"I'm doing that.

They laugh.",0.3
MIA (CONT'D),So who was that guy at the Lighthouse?,0.0
SEBASTIAN,...Which guy?,0.0
MIA,The one who offered you a gig.,0.0
SEBASTIAN,You mean Keith? He's the worst.,-0.65625
MIA,Why was it weird between you two?,-0.5
SEBASTIAN,It's always weird with him.,-0.5
MIA,He did offer you a job.,0.0
SEBASTIAN,Right...,0.2857142857142857
MIA,Are you going to call him?,0.0
SEBASTIAN,"No.

A beat.",0.0
MIA,"Ok...

A moment passes. They lie down, side by side.",0.17222222222222222
SEBASTIAN,"Here's what we know. It's definitely
          Chicken on a Stick --
                 (Mia rolls her eyes)
          -- and your play is going to be a
          triumph.

She looks at him. He looks at her. A shared smile.

And on that --
                               Revision                       45.",-0.15
KEITH,"Sebastian.

     Sebastian approaches.",0.0
SEBASTIAN,"(a bit awkward)
               Well... Here I am.

     A moment. Then --",-0.6
SEBASTIAN (CONT'D),"Where's the piano?

     Keith gestures -- to an electronic keyboard. Sebastian winces.
                                  Revision                     46.",0.0
KEITH,"Here's the deal. We've got distribution
                with Universal, got our own imprint.
                We're about to go on the road. We can cut
                you in for 1K a week while we tour, plus
                an equal share of any merchandise or
                ticket revenue that comes in. Sound good?

      We see Sebastian's face. Taken aback.",0.33999999999999997
SEBASTIAN,"Yeah, that...that...
                       (beat)
                ...sounds good.

      A moment. Keith smiles.",0.7
KEITH,"Let's play, see how it feels.

      He pulls out a guitar. Cole starts on drums. Keith joins in.
      Malcolm and Tom follow suit. Sebastian listens. It sounds like
      modern jazz -- electronic in feel, but still jazz...

      Sebastian approaches the keyboard. Joins -- slowly, one step
      at a time. Then begins playing out a bit more, his fingers
      starting to race. Malcolm gives Keith a look: ""Damn"". Keith
      gives Malcolm a look back: ""I told you so."" Bit by bit,
      Sebastian eases into the groove. This isn't so bad...

      Then -- Keith moves to a LAPTOP. Introduces a DRUM-MACHINE",-0.04999999999999998
SEBASTIAN,"You're holding onto the past. But jazz is
               about the future.

     A moment. Then --",-0.125
KEITH,"I get it. I got it wrong. Last guy wasn't
               as good as you. But you're a pain in the
               ass, man.

     Sebastian nods. Knows he can't argue with that.

     Another beat.",0.06666666666666665
LAURA,"Look at him -- watch --

     Mia glances out the window. A MAN in his early 40's has just
     parked, is walking around his car, inspecting it.",0.1
MIA,"Thanks Harry, I'm good.
                           Revision                       52.",0.44999999999999996
LAURA,"Same here but I think someone's trying to
          break into your car.

Harry rolls his eyes, heads to the front. Laura looks at Mia.",0.0
MIA,"I think today's San Diego. I'm not sure...

A moment passes.",-0.25
LAURA,"You should come over tonight. Harry's
          cooking, but don't let that stop you.
                 (Mia manages a smile; a beat)
          What's the matter?",0.3
MIA,Nothing...,0.0
LAURA,You miss him.,0.0
MIA,I guess. I'm adapting.,0.0
LAURA,"(nods; then,)
          I got used to being alone. Growing up it
          was just me and Seb. We only had each other.",-0.0625
MIA,He told me.,0.0
LAURA,"I wasn't looking for anybody. Then I met
          Harry and -- we just fit...
                 (Mia smiles)
          You've changed Seb. You know that?

Laura means it positively -- but Mia seems concerned...",0.31363636363636366
MIA,Do you think he's happy?,0.8
LAURA,Is he happy?,0.8
MIA,"I mean with the band, the travel, all of it.
                              Revision                        53.


     Laura shrugs.",-0.3125
LAURA,"Our dad never got to do what he wanted.
               We were always treading water, he took a
               job running a washer-dryer store. But
               every night at home he'd play his
               clarinet along to a Benny Goodman record.
                      (a beat)
               So I look at Sebastian... Playing music,
               getting paid for it. I'm happy for him.

     She notices Harry through the window, returning. Her thoughts
     drift.",0.8
LAURA,"No -- I changed my mind.

     They laugh. Kiss. Tender. Loving. Mia watches...",0.44999999999999996
MIA,"Hey it's me... Not sure where you are --
               maybe Boston? Or Dallas? Anyway... I
               haven't heard from you in a while... I
               miss you...
                      (a beat)
               Ok... Bye...

     She hangs up. Resumes typing.
                                   Revision                    54.",0.125
SEBASTIAN,"Surprise.

     She lights up. He lifts up silver serving trays, revealing
     what he's cooked. Roast chicken. Pasta.",-0.6
SEBASTIAN (CONT'D),"And...
                         (he hurries to the kitchen --
                          and holds up a big apple pie)
                  There's twenty-five pounds of apples in
                  it. It probably destroyed an ecosystem
                  but it tastes good.

     Mia laughs. Can't believe it. Sebastian looks at her --
     sincere now.",0.39999999999999997
SEBASTIAN (CONT'D),"I have to head back in the morning but I
                  needed to see you.

     Mia's eyes seem almost on the brink of tears. Beyond moved,
     she runs into Sebastian's arms. A LONG, HEARTFELT KISS...",-0.016666666666666666
SEBASTIAN (CONT'D),Feels so good to be home.,0.7
MIA,"Stay.

     He smiles.",0.0
SEBASTIAN,How's the play going?,0.0
MIA,"I'm nervous.
                          Revision                 55.",0.0
SEBASTIAN,Why?,0.0
MIA,"Because...
                 (a beat)
          What if people show up?",0.0
SEBASTIAN,"Fuck `em!

Laughter. Then --",-0.5
